Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count
0,104953616966259,104953650931604,33.965345,1
0,104953650931604,104953917914888,266.983284,15
0,104953917914888,104954019494160,101.579272,5
0,104954019494160,104954036787414,17.293254,0
0,104954036787414,104954053558895,16.771481,0
0,104954053558895,104954070330448,16.771553,0
0,104954070330448,104954087101631,16.771183,0
0,104954087101631,104954103872714,16.771083,0
0,104954103872714,104954120643577,16.770863,0
0,104954120643577,104954137414652,16.771075,0
0,104954137414652,104954154185918,16.771266,0
0,104954154185918,104954170957226,16.771308,0
0,104954170957226,104954187728511,16.771285,0
0,104954187728511,104954204499431,16.77092,0
0,104954204499431,104954221270718,16.771287,0
0,104954221270718,104954238041776,16.771058,0
0,104954238041776,104954254812798,16.771022,0
0,104954254812798,104954271583788,16.77099,0
0,104954271583788,104954288354924,16.771136,0
0,104954288354924,104954305126004,16.77108,0
0,104954305126004,104954321897464,16.77146,0
0,104954321897464,104954338668687,16.771223,0
0,104954338668687,104954355440108,16.771421,0
0,104954355440108,104954372211019,16.770911,0
0,104954372211019,104954388982404,16.771385,0
0,104954388982404,104954405753578,16.771174,0
0,104954405753578,104954422524688,16.77111,0
0,104954422524688,104954439296011,16.771323,0
0,104954439296011,104954456067235,16.771224,0
0,104954456067235,104954472838079,16.770844,0
0,104954472838079,104954489609348,16.771269,0
0,104954489609348,104954506380572,16.771224,0
0,104954506380572,104954523151691,16.771119,0
0,104954523151691,104954539922281,16.77059,0
0,104954539922281,104954556693317,16.771036,0
0,104954556693317,104954573464104,16.770787,0
0,104954573464104,104954590234877,16.770773,0
0,104954590234877,104954607005911,16.771034,0
0,104954607005911,104954623776965,16.771054,0
0,104954623776965,104954640548178,16.771213,0
0,104954640548178,104954657319489,16.771311,0
1,104954657319489,104954674090890,16.771401,0
1,104954674090890,104954690862310,16.77142,0
1,104954690862310,104954707633760,16.77145,0
1,104954707633760,104954724405079,16.771319,0
1,104954724405079,104954741176274,16.771195,0
1,104954741176274,104954757947530,16.771256,0
1,104954757947530,104954774718966,16.771436,0
1,104954774718966,104954791490083,16.771117,0
1,104954791490083,104954808261342,16.771259,0
1,104954808261342,104954825032479,16.771137,0
1,104954825032479,104954841803724,16.771245,0
1,104954841803724,104954858574788,16.771064,0
1,104954858574788,104954875345902,16.771114,0
1,104954875345902,104954892117147,16.771245,0
1,104954892117147,104954908888253,16.771106,0
1,104954908888253,104954925659375,16.771122,0
1,104954925659375,104954942430460,16.771085,0
1,104954942430460,104954959201590,16.77113,0
1,104954959201590,104954975972758,16.771168,0
1,104954975972758,104954992743881,16.771123,0
