Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class SEnd Time (ns),Class STime Elapsed (ms),Result,,Total Proc Time (ms),Avg Proc Time (ms),,Num,Classifications Per Second,Avg Class per Sec,,Total Classifications
1,1.65E+14,1.65E+14,1120.270164,,1.65E+14,220.189293,daisy,,1340.459457,989.6530462,,0,0,0.943521595,,284
2,1.65E+14,1.65E+14,952.7570742,,1.65E+14,75.997664,roses,,1028.754738,,,1,1,,,
3,1.65E+14,1.65E+14,963.0561892,,1.65E+14,76.294852,daisy,,1039.351041,,,2,1,,,True Positives
4,1.65E+14,1.65E+14,804.1475282,,1.65E+14,74.007559,daisy,,878.1550872,,,3,1,,,281
5,1.65E+14,1.65E+14,807.9817992,,1.65E+14,76.828914,roses,,884.8107132,,,4,1,,,
6,1.65E+14,1.65E+14,801.9475817,,1.65E+14,76.137247,daisy,,878.0848287,,,5,1,,,False Negatives
7,1.65E+14,1.65E+14,792.4711722,,1.65E+14,71.409069,daisy,,863.8802412,,,6,1,,,3
8,1.65E+14,1.65E+14,796.2341942,,1.65E+14,70.385632,daisy,,866.6198262,,,7,1,,,
9,1.65E+14,1.65E+14,799.4545592,,1.65E+14,57.21261,daisy,,856.6671692,,,8,1,,,Recall
10,1.65E+14,1.65E+14,800.9451842,,1.65E+14,70.325216,roses,,871.2704002,,,9,1,,,0.98943662
11,1.65E+14,1.65E+14,802.9553417,,1.65E+14,72.450945,daisy,,875.4062867,,,10,1,,,
12,1.65E+14,1.65E+14,798.8627362,,1.65E+14,74.798445,daisy,,873.6611812,,,11,1,,,
13,1.65E+14,1.65E+14,803.8584652,,1.65E+14,83.239435,daisy,,887.0979002,,,12,1,,,
13,1.65E+14,1.65E+14,797.2042462,,1.65E+14,72.877299,daisy,,870.0815452,,,13,2,,,
14,1.65E+14,1.65E+14,805.2074762,,1.65E+14,71.998392,daisy,,877.2058682,,,14,1,,,
15,1.65E+14,1.65E+14,794.9290917,,1.65E+14,64.304225,daisy,,859.2333167,,,15,1,,,
16,1.65E+14,1.65E+14,799.3728922,,1.65E+14,72.764538,daisy,,872.1374302,,,16,1,,,
17,1.65E+14,1.65E+14,812.8210182,,1.65E+14,83.174644,daisy,,895.9956622,,,17,1,,,
18,1.65E+14,1.65E+14,797.1377362,,1.65E+14,71.651674,daisy,,868.7894102,,,18,1,,,
19,1.65E+14,1.65E+14,799.6283092,,1.65E+14,75.258288,daisy,,874.8865972,,,19,1,,,
20,1.65E+14,1.65E+14,806.9139872,,1.65E+14,70.692351,daisy,,877.6063382,,,20,1,,,
21,1.65E+14,1.65E+14,794.4214332,,1.65E+14,72.237768,daisy,,866.6592012,,,21,1,,,
22,1.65E+14,1.65E+14,804.5223722,,1.65E+14,70.470789,daisy,,874.9931612,,,22,1,,,
