Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count
0,105642888679261,105642922662839,33.983578,1
0,105642922662839,105643189546904,266.884065,15
0,105643189546904,105643224610029,35.063125,2
0,105643224610029,105643291492212,66.882183,3
0,105643291492212,105643308590506,17.098294,0
0,105643308590506,105643325365054,16.774548,0
0,105643325365054,105643342139301,16.774247,0
0,105643342139301,105643358913673,16.774372,0
0,105643358913673,105643375687888,16.774215,0
0,105643375687888,105643392462132,16.774244,0
0,105643392462132,105643409236393,16.774261,0
0,105643409236393,105643426010505,16.774112,0
0,105643426010505,105643442785013,16.774508,0
0,105643442785013,105643459558726,16.773713,0
0,105643459558726,105643476332737,16.774011,0
0,105643476332737,105643493106942,16.774205,0
0,105643493106942,105643509881069,16.774127,0
0,105643509881069,105643526655196,16.774127,0
0,105643526655196,105643543429442,16.774246,0
0,105643543429442,105643560203528,16.774086,0
0,105643560203528,105643576977775,16.774247,0
0,105643576977775,105643593751557,16.773782,0
0,105643593751557,105643610525666,16.774109,0
0,105643610525666,105643627300099,16.774433,0
0,105643627300099,105643644074617,16.774518,0
0,105643644074617,105643660849082,16.774465,0
0,105643660849082,105643677623746,16.774664,0
0,105643677623746,105643694398356,16.77461,0
0,105643694398356,105643711172974,16.774618,0
0,105643711172974,105643727947277,16.774303,0
0,105643727947277,105643744721723,16.774446,0
0,105643744721723,105643761495821,16.774098,0
0,105643761495821,105643778270051,16.77423,0
0,105643778270051,105643795044077,16.774026,0
0,105643795044077,105643811818008,16.773931,0
0,105643811818008,105643828592017,16.774009,0
0,105643828592017,105643845366304,16.774287,0
0,105643845366304,105643862140687,16.774383,0
0,105643862140687,105643878915153,16.774466,0
0,105643878915153,105643895689610,16.774457,0
0,105643895689610,105643912464071,16.774461,0
0,105643912464071,105643929238372,16.774301,0
1,105643929238372,105643946012887,16.774515,0
1,105643946012887,105643962786909,16.774022,0
1,105643962786909,105643979561403,16.774494,0
1,105643979561403,105643996335804,16.774401,0
1,105643996335804,105644013110330,16.774526,0
1,105644013110330,105644029884663,16.774333,0
1,105644029884663,105644046659105,16.774442,0
1,105644046659105,105644063433313,16.774208,0
1,105644063433313,105644080207573,16.77426,0
1,105644080207573,105644096981825,16.774252,0
1,105644096981825,105644113756066,16.774241,0
1,105644113756066,105644130530274,16.774208,0
1,105644130530274,105644147304520,16.774246,0
1,105644147304520,105644164078731,16.774211,0
1,105644164078731,105644180852803,16.774072,0
1,105644180852803,105644197626934,16.774131,0
1,105644197626934,105644214400866,16.773932,0
1,105644214400866,105644231175046,16.77418,0
1,105644231175046,105644247949272,16.774226,0
1,105644247949272,105644264723435,16.774163,0
1,105644264723435,105644281497563,16.774128,0
1,105644281497563,105644298271648,16.774085,0
1,105644298271648,105644315045532,16.773884,0
1,105644315045532,105644331819553,16.774021,0
1,105644331819553,105644348593610,16.774057,0
1,105644348593610,105644365367868,16.774258,0
1,105644365367868,105644382141620,16.773752,0
