Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence,,,Total Proc Time (ms),,Num,Classifications Per Second,,TOTAL Proc Time (ms),, ((TESTING LABEL))
0,1.79209E+14,1.79209E+14,63.607402,1.79209E+14,1.79209E+14,218.960126,daisy,0.7830012,,,282.567528,,0,3,,259259.7472,,daisy
0,1.79209E+14,1.79209E+14,26.284221,1.79209E+14,1.79209E+14,79.339643,daisy,0.84282357,,,105.623864,,1,9,,,,
0,1.79209E+14,1.79209E+14,26.27094,1.79209E+14,1.79209E+14,67.538183,daisy,0.8704778,,,93.809123,,2,9,,Avg Proc Time (ms),, ((DOUBLE CHECK TOTAL CLASSIFICATIONS))
1,1.79209E+14,1.79209E+14,26.663648,1.79209E+14,1.79209E+14,67.580215,daisy,0.80910397,,,94.243863,,3,9,,102.1512006,,2538
1,1.79209E+14,1.79209E+14,26.278701,1.79209E+14,1.7921E+14,66.587194,daisy,0.8192006,,,92.865895,,4,8,,,,
1,1.7921E+14,1.7921E+14,25.053232,1.7921E+14,1.7921E+14,66.283756,daisy,0.8147149,,,91.336988,,5,9,,Avg Class per Sec,,
1,1.7921E+14,1.7921E+14,31.676097,1.7921E+14,1.7921E+14,72.684746,daisy,0.8371807,,,104.360843,,6,8,,8.431893688,,
1,1.7921E+14,1.7921E+14,25.704586,1.7921E+14,1.7921E+14,74.641258,daisy,0.8186153,,,100.345844,,7,8,,,,
1,1.7921E+14,1.7921E+14,25.094898,1.7921E+14,1.7921E+14,67.235475,daisy,0.8295828,,,92.330373,,8,9,,Total Classifications,,
1,1.7921E+14,1.7921E+14,27.58318,1.7921E+14,1.7921E+14,71.18933,daisy,0.840888,,,98.77251,,9,8,,2538,,
1,1.7921E+14,1.7921E+14,25.0962,1.7921E+14,1.7921E+14,70.568965,daisy,0.8516285,,,95.665165,,10,9,,,,
1,1.7921E+14,1.7921E+14,26.037347,1.7921E+14,1.7921E+14,80.043915,daisy,0.83419466,,,106.081262,,11,9,,True Positives,,
2,1.7921E+14,1.7921E+14,25.47844,1.7921E+14,1.7921E+14,68.233861,daisy,0.8101959,,,93.712301,,12,9,,2538,,
2,1.7921E+14,1.7921E+14,38.135941,1.7921E+14,1.79211E+14,72.115215,daisy,0.8425616,,,110.251156,,13,8,,,,
2,1.79211E+14,1.79211E+14,25.10193,1.79211E+14,1.79211E+14,71.716518,daisy,0.8565466,,,96.818448,,14,8,,False Negatives,,
2,1.79211E+14,1.79211E+14,31.82542,1.79211E+14,1.79211E+14,70.453393,daisy,0.7996726,,,102.278813,,15,8,,0,,
2,1.79211E+14,1.79211E+14,25.533545,1.79211E+14,1.79211E+14,79.611778,daisy,0.8252274,,,105.145323,,16,9,,,,
2,1.79211E+14,1.79211E+14,25.91344,1.79211E+14,1.79211E+14,72.645944,daisy,0.81162006,,,98.559384,,17,9,,Recall,,
