Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence,,,Total Proc Time (ms),,Num,Classifications Per Second,,TOTAL Proc Time (ms),, ((TESTING LABEL))
0,1.79841E+14,1.79841E+14,310.548208,1.79841E+14,1.79841E+14,225.523824,daisy,0.8330605,,,536.072032,,0,1,,266738.5064,,daisy
1,1.79841E+14,1.79842E+14,249.26216,1.79842E+14,1.79842E+14,71.082663,daisy,0.8655898,,,320.344823,,1,2,,,,
1,1.79842E+14,1.79842E+14,246.430441,1.79842E+14,1.79842E+14,66.879642,daisy,0.84350616,,,313.310083,,2,3,,Avg Proc Time (ms),, ((DOUBLE CHECK TOTAL CLASSIFICATIONS))
2,1.79842E+14,1.79842E+14,246.733045,1.79842E+14,1.79842E+14,71.199902,daisy,0.7724237,,,317.932947,,3,3,,326.0861937,,818
2,1.79842E+14,1.79843E+14,246.365753,1.79843E+14,1.79843E+14,67.565267,daisy,0.8254317,,,313.93102,,4,3,,,,
2,1.79843E+14,1.79843E+14,254.374296,1.79843E+14,1.79843E+14,65.44209,daisy,0.8686399,,,319.816386,,5,2,,Avg Class per Sec,,
3,1.79843E+14,1.79843E+14,249.003358,1.79843E+14,1.79843E+14,67.794799,daisy,0.83085626,,,316.798157,,6,3,,2.717607973,,
3,1.79843E+14,1.79844E+14,252.919243,1.79844E+14,1.79844E+14,74.61308,daisy,0.8628821,,,327.532323,,7,3,,,,
3,1.79844E+14,1.79844E+14,249.89367,1.79844E+14,1.79844E+14,70.608236,daisy,0.8134379,,,320.501906,,8,3,,Total Classifications,,
4,1.79844E+14,1.79844E+14,252.167837,1.79844E+14,1.79845E+14,107.76074,daisy,0.84684175,,,359.928577,,9,2,,818,,
4,1.79845E+14,1.79845E+14,249.174191,1.79845E+14,1.79845E+14,76.447508,daisy,0.83693594,,,325.621699,,10,3,,,,
4,1.79845E+14,1.79845E+14,248.66492,1.79845E+14,1.79845E+14,77.647716,daisy,0.8168049,,,326.312636,,11,3,,True Positives,,
5,1.79845E+14,1.79846E+14,251.043514,1.79846E+14,1.79846E+14,76.990424,daisy,0.7801135,,,328.033938,,12,2,,818,,
5,1.79846E+14,1.79846E+14,249.051274,1.79846E+14,1.79846E+14,78.716258,daisy,0.7635918,,,327.767532,,13,3,,,,
6,1.79846E+14,1.79846E+14,255.1644,1.79846E+14,1.79846E+14,77.050529,daisy,0.73398995,,,332.214929,,14,3,,False Negatives,,
6,1.79846E+14,1.79847E+14,251.250546,1.79847E+14,1.79847E+14,68.243601,daisy,0.8353285,,,319.494147,,15,3,,0,,
6,1.79847E+14,1.79847E+14,253.550233,1.79847E+14,1.79847E+14,73.762768,daisy,0.7504852,,,327.313001,,16,2,,,,
7,1.79847E+14,1.79847E+14,252.188775,1.79847E+14,1.79847E+14,77.963862,daisy,0.769458,,,330.152637,,17,3,,Recall,,
7,1.79848E+14,1.79848E+14,248.860806,1.79848E+14,1.79848E+14,65.869746,daisy,0.76798207,,,314.730552,,18,3,,1,,
7,1.79848E+14,1.79848E+14,255.84388,1.79848E+14,1.79848E+14,87.651415,daisy,0.8537769,,,343.495295,,19,3,,,,
8,1.79848E+14,1.79849E+14,250.9094,1.79849E+14,1.79849E+14,68.905111,daisy,0.79132235,,,319.814511,,20,2,,,,
8,1.79849E+14,1.79849E+14,247.73591,1.79849E+14,1.79849E+14,69.228236,daisy,0.8106527,,,316.964146,,21,3,,,,
8,1.79849E+14,1.79849E+14,259.782265,1.79849E+14,1.79849E+14,74.394382,daisy,0.6859577,,,334.176647,,22,3,,,,
9,1.79849E+14,1.7985E+14,250.580962,1.7985E+14,1.7985E+14,71.651674,daisy,0.7963708,,,322.232636,,23,2,,,,
9,1.7985E+14,1.7985E+14,252.483411,1.7985E+14,1.7985E+14,68.997507,daisy,0.77701205,,,321.480918,,24,3,,,,
10,1.7985E+14,1.7985E+14,253.414921,1.7985E+14,1.7985E+14,72.289174,daisy,0.75885993,,,325.704095,,25,3,,,,
10,1.7985E+14,1.79851E+14,251.748827,1.79851E+14,1.79851E+14,74.368028,daisy,0.79313755,,,326.116855,,26,3,,,,
10,1.79851E+14,1.79851E+14,248.658879,1.79851E+14,1.79851E+14,89.870894,daisy,0.76320815,,,338.529773,,27,2,,,,
11,1.79851E+14,1.79851E+14,248.287994,1.79851E+14,1.79852E+14,80.549279,daisy,0.859595,,,328.837273,,28,3,,,,
11,1.79852E+14,1.79852E+14,252.031223,1.79852E+14,1.79852E+14,80.015998,daisy,0.7890899,,,332.047221,,29,3,,,,
11,1.79852E+14,1.79852E+14,254.274921,1.79852E+14,1.79852E+14,77.653497,daisy,0.8705085,,,331.928418,,30,3,,,,
12,1.79852E+14,1.79853E+14,248.853097,1.79853E+14,1.79853E+14,100.261989,daisy,0.6865844,,,349.115086,,31,2,,,,
12,1.79853E+14,1.79853E+14,248.23815,1.79853E+14,1.79853E+14,82.953914,daisy,0.8133472,,,331.192064,,32,3,,,,
13,1.79853E+14,1.79853E+14,258.427214,1.79853E+14,1.79853E+14,69.596777,daisy,0.81132144,,,328.023991,,33,3,,,,
13,1.79853E+14,1.79854E+14,250.781275,1.79854E+14,1.79854E+14,77.052873,daisy,0.8461893,,,327.834148,,34,2,,,,
13,1.79854E+14,1.79854E+14,259.740443,1.79854E+14,1.79854E+14,72.881049,daisy,0.761197,,,332.621492,,35,3,,,,
14,1.79854E+14,1.79854E+14,253.751327,1.79854E+14,1.79854E+14,70.051361,daisy,0.77944857,,,323.802688,,36,3,,,,
14,1.79854E+14,1.79855E+14,251.086067,1.79855E+14,1.79855E+14,72.863028,daisy,0.84612507,,,323.949095,,37,3,,,,
14,1.79855E+14,1.79855E+14,252.010859,1.79855E+14,1.79855E+14,77.362508,daisy,0.7923129,,,329.373367,,38,2,,,,
15,1.79855E+14,1.79855E+14,253.759557,1.79855E+14,1.79856E+14,72.079278,daisy,0.81821287,,,325.838835,,39,3,,,,
15,1.79856E+14,1.79856E+14,253.068098,1.79856E+14,1.79856E+14,70.145424,daisy,0.8121301,,,323.213522,,40,3,,,,
15,1.79856E+14,1.79856E+14,255.778411,1.79856E+14,1.79856E+14,73.780997,daisy,0.84970474,,,329.559408,,41,3,,,,
16,1.79856E+14,1.79857E+14,248.135389,1.79857E+14,1.79857E+14,91.142144,daisy,0.840684,,,339.277533,,42,2,,,,
16,1.79857E+14,1.79857E+14,247.39867,1.79857E+14,1.79857E+14,69.624695,daisy,0.8003741,,,317.023365,,43,3,,,,
17,1.79857E+14,1.79857E+14,257.020443,1.79857E+14,1.79857E+14,69.473652,daisy,0.74781287,,,326.494095,,44,3,,,,
17,1.79857E+14,1.79858E+14,257.07039,1.79858E+14,1.79858E+14,70.896152,daisy,0.81989396,,,327.966542,,45,3,,,,
17,1.79858E+14,1.79858E+14,250.653202,1.79858E+14,1.79858E+14,66.746413,daisy,0.7249209,,,317.399615,,46,2,,,,
18,1.79858E+14,1.79858E+14,256.592838,1.79858E+14,1.79858E+14,73.301465,daisy,0.78122526,,,329.894303,,47,3,,,,
18,1.79859E+14,1.79859E+14,256.432838,1.79859E+14,1.79859E+14,72.657195,daisy,0.7551244,,,329.090033,,48,3,,,,
18,1.79859E+14,1.79859E+14,249.890442,1.79859E+14,1.79859E+14,79.892768,daisy,0.75195134,,,329.78321,,49,2,,,,
19,1.79859E+14,1.7986E+14,253.480233,1.7986E+14,1.7986E+14,70.951309,daisy,0.75825536,,,324.431542,,50,3,,,,
19,1.7986E+14,1.7986E+14,255.761848,1.7986E+14,1.7986E+14,73.248705,daisy,0.8395936,,,329.010553,,51,3,,,,
19,1.7986E+14,1.7986E+14,256.541588,1.7986E+14,1.7986E+14,73.623549,daisy,0.82697093,,,330.165137,,52,3,,,,
20,1.7986E+14,1.79861E+14,252.688202,1.79861E+14,1.79861E+14,83.532665,daisy,0.77319264,,,336.220867,,53,2,,,,
20,1.79861E+14,1.79861E+14,250.844244,1.79861E+14,1.79861E+14,69.869799,daisy,0.8213818,,,320.714043,,54,3,,,,
21,1.79861E+14,1.79861E+14,253.073514,1.79861E+14,1.79861E+14,70.776674,daisy,0.7977636,,,323.850188,,55,3,,,,
21,1.79861E+14,1.79862E+14,248.603046,1.79862E+14,1.79862E+14,103.409281,daisy,0.81260365,,,352.012327,,56,3,,,,
21,1.79862E+14,1.79862E+14,250.047317,1.79862E+14,1.79862E+14,69.976049,daisy,0.71406984,,,320.023366,,57,2,,,,
22,1.79862E+14,1.79862E+14,250.522265,1.79862E+14,1.79863E+14,67.004746,daisy,0.7919119,,,317.527011,,58,3,,,,
22,1.79863E+14,1.79863E+14,256.781692,1.79863E+14,1.79863E+14,72.491309,daisy,0.7764465,,,329.273001,,59,3,,,,
22,1.79863E+14,1.79863E+14,254.753879,1.79863E+14,1.79863E+14,68.974226,daisy,0.80397093,,,323.728105,,60,2,,,,
23,1.79863E+14,1.79864E+14,250.142004,1.79864E+14,1.79864E+14,75.982872,daisy,0.78835446,,,326.124876,,61,3,,,,
23,1.79864E+14,1.79864E+14,255.352734,1.79864E+14,1.79864E+14,71.401725,daisy,0.85047543,,,326.754459,,62,3,,,,
24,1.79864E+14,1.79864E+14,256.765077,1.79864E+14,1.79864E+14,73.230945,daisy,0.8330101,,,329.996022,,63,3,,,,
24,1.79864E+14,1.79865E+14,251.807629,1.79865E+14,1.79865E+14,77.073185,daisy,0.7744563,,,328.880814,,64,2,,,,
24,1.79865E+14,1.79865E+14,249.986952,1.79865E+14,1.79865E+14,72.250997,daisy,0.87819904,,,322.237949,,65,3,,,,
25,1.79865E+14,1.79865E+14,255.886588,1.79865E+14,1.79865E+14,66.415267,daisy,0.85253495,,,322.301855,,66,3,,,,
25,1.79865E+14,1.79866E+14,252.902889,1.79866E+14,1.79866E+14,78.257455,daisy,0.878164,,,331.160344,,67,3,,,,
25,1.79866E+14,1.79866E+14,251.293358,1.79866E+14,1.79866E+14,65.871049,daisy,0.8324531,,,317.164407,,68,2,,,,
26,1.79866E+14,1.79866E+14,252.571848,1.79866E+14,1.79867E+14,70.14084,daisy,0.80119365,,,322.712688,,69,3,,,,
26,1.79867E+14,1.79867E+14,251.686535,1.79867E+14,1.79867E+14,67.166048,daisy,0.7311458,,,318.852583,,70,3,,,,
26,1.79867E+14,1.79867E+14,254.997629,1.79867E+14,1.79867E+14,79.905372,daisy,0.847773,,,334.903001,,71,2,,,,
27,1.79867E+14,1.79868E+14,254.219609,1.79868E+14,1.79868E+14,70.649382,daisy,0.83041817,,,324.868991,,72,3,,,,
27,1.79868E+14,1.79868E+14,250.821796,1.79868E+14,1.79868E+14,65.882715,daisy,0.73509514,,,316.704511,,73,3,,,,
28,1.79868E+14,1.79868E+14,259.923619,1.79868E+14,1.79868E+14,75.232351,daisy,0.7632912,,,335.15597,,74,3,,,,
28,1.79868E+14,1.79869E+14,247.741431,1.79869E+14,1.79869E+14,71.351621,daisy,0.7053346,,,319.093052,,75,2,,,,
28,1.79869E+14,1.79869E+14,253.803202,1.79869E+14,1.79869E+14,75.19782,daisy,0.86497617,,,329.001022,,76,3,,,,
29,1.79869E+14,1.79869E+14,251.009191,1.79869E+14,1.79869E+14,67.168861,daisy,0.83548576,,,318.178052,,77,3,,,,
29,1.7987E+14,1.7987E+14,256.632994,1.7987E+14,1.7987E+14,69.675528,daisy,0.76784945,,,326.308522,,78,3,,,,
29,1.7987E+14,1.7987E+14,250.129192,1.7987E+14,1.7987E+14,75.243236,daisy,0.8396531,,,325.372428,,79,2,,,,
30,1.7987E+14,1.79871E+14,258.118619,1.79871E+14,1.79871E+14,69.914121,daisy,0.75232977,,,328.03274,,80,3,,,,
30,1.79871E+14,1.79871E+14,256.771588,1.79871E+14,1.79871E+14,73.113289,daisy,0.84578764,,,329.884877,,81,3,,,,
30,1.79871E+14,1.79871E+14,249.051744,1.79871E+14,1.79871E+14,77.336935,daisy,0.82225597,,,326.388679,,82,2,,,,
31,1.79871E+14,1.79872E+14,256.425443,1.79872E+14,1.79872E+14,71.172975,daisy,0.7247889,,,327.598418,,83,3,,,,
