Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,Min FPS
0,1.16E+14,1.16E+14,34.029752,2,,,0,43,38
0,1.16E+14,1.16E+14,267.013988,15,,,1,60,
0,1.16E+14,1.16E+14,35.167332,2,,,2,59,Max FPS
0,1.16E+14,1.16E+14,16.894426,0,,,3,60,60
0,1.16E+14,1.16E+14,50.113245,2,,,4,59,
0,1.16E+14,1.16E+14,17.007697,0,,,5,60,Avg FPS
0,1.16E+14,1.16E+14,16.780331,0,,,6,60,59.44850498
0,1.16E+14,1.16E+14,16.780543,0,,,7,59,
0,1.16E+14,1.16E+14,16.779717,0,,,8,60,
0,1.16E+14,1.16E+14,16.779925,0,,,9,59,
0,1.16E+14,1.16E+14,16.779817,0,,,10,60,
0,1.16E+14,1.16E+14,16.780162,0,,,11,60,
0,1.16E+14,1.16E+14,16.780024,0,,,12,59,
0,1.16E+14,1.16E+14,16.78,0,,,13,60,
0,1.16E+14,1.16E+14,16.779647,0,,,14,59,
0,1.16E+14,1.16E+14,16.779649,0,,,15,60,
0,1.16E+14,1.16E+14,16.779749,0,,,16,60,
0,1.16E+14,1.16E+14,16.779736,0,,,17,59,
0,1.16E+14,1.16E+14,16.779627,0,,,18,60,
0,1.16E+14,1.16E+14,16.779567,0,,,19,59,
0,1.16E+14,1.16E+14,16.779562,0,,,20,60,
0,1.16E+14,1.16E+14,16.779678,0,,,21,60,
0,1.16E+14,1.16E+14,16.779439,0,,,22,59,
0,1.16E+14,1.16E+14,16.779175,0,,,23,60,
0,1.16E+14,1.16E+14,16.779277,0,,,24,59,
0,1.16E+14,1.16E+14,16.779358,0,,,25,60,
0,1.16E+14,1.16E+14,16.779569,0,,,26,60,
0,1.16E+14,1.16E+14,16.779452,0,,,27,59,
0,1.16E+14,1.16E+14,16.779397,0,,,28,60,
0,1.16E+14,1.16E+14,16.779455,0,,,29,59,
0,1.16E+14,1.16E+14,16.779483,0,,,30,60,
0,1.16E+14,1.16E+14,16.779399,0,,,31,60,
0,1.16E+14,1.16E+14,16.779483,0,,,32,59,
0,1.16E+14,1.16E+14,16.77911,0,,,33,60,
0,1.16E+14,1.16E+14,16.779305,0,,,34,59,
0,1.16E+14,1.16E+14,16.77912,0,,,35,60,
0,1.16E+14,1.16E+14,16.779353,0,,,36,60,
0,1.16E+14,1.16E+14,16.778864,0,,,37,59,
0,1.16E+14,1.16E+14,16.778604,0,,,38,60,
0,1.16E+14,1.16E+14,16.778984,0,,,39,59,
0,1.16E+14,1.16E+14,16.77909,0,,,40,60,
0,1.16E+14,1.16E+14,16.778819,0,,,41,60,
0,1.16E+14,1.16E+14,16.77916,0,,,42,59,
1,1.16E+14,1.16E+14,16.778936,0,,,43,60,
1,1.16E+14,1.16E+14,16.779255,0,,,44,59,
1,1.16E+14,1.16E+14,16.779231,0,,,45,60,
1,1.16E+14,1.16E+14,16.779416,0,,,46,60,
1,1.16E+14,1.16E+14,16.779322,0,,,47,59,
1,1.16E+14,1.16E+14,16.779273,0,,,48,60,
1,1.16E+14,1.16E+14,16.779141,0,,,49,59,
1,1.16E+14,1.16E+14,16.779272,0,,,50,60,
1,1.16E+14,1.16E+14,16.779189,0,,,51,59,
1,1.16E+14,1.16E+14,16.779195,0,,,52,60,
1,1.16E+14,1.16E+14,16.779051,0,,,53,60,
1,1.16E+14,1.16E+14,16.779191,0,,,54,59,
1,1.16E+14,1.16E+14,16.779258,0,,,55,60,
1,1.16E+14,1.16E+14,16.779154,0,,,56,59,
1,1.16E+14,1.16E+14,16.779313,0,,,57,60,
1,1.16E+14,1.16E+14,16.778782,0,,,58,60,
1,1.16E+14,1.16E+14,16.778858,0,,,59,59,
1,1.16E+14,1.16E+14,16.778839,0,,,60,60,
1,1.16E+14,1.16E+14,16.779032,0,,,61,59,
1,1.16E+14,1.16E+14,16.779241,0,,,62,60,
1,1.16E+14,1.16E+14,16.779282,0,,,63,60,
1,1.16E+14,1.16E+14,16.779121,0,,,64,59,
1,1.16E+14,1.16E+14,16.779235,0,,,65,60,
1,1.16E+14,1.16E+14,16.779228,0,,,66,59,
1,1.16E+14,1.16E+14,16.779227,0,,,67,60,
1,1.16E+14,1.16E+14,16.778972,0,,,68,60,
1,1.16E+14,1.16E+14,16.77908,0,,,69,59,
1,1.16E+14,1.16E+14,16.778852,0,,,70,60,
1,1.16E+14,1.16E+14,16.779113,0,,,71,59,
1,1.16E+14,1.16E+14,16.778988,0,,,72,60,
1,1.16E+14,1.16E+14,16.779053,0,,,73,60,
1,1.16E+14,1.16E+14,16.778973,0,,,74,59,
1,1.16E+14,1.16E+14,16.779083,0,,,75,60,
1,1.16E+14,1.16E+14,16.778937,0,,,76,59,
1,1.16E+14,1.16E+14,16.779118,0,,,77,60,
1,1.16E+14,1.16E+14,16.77891,0,,,78,60,
1,1.16E+14,1.16E+14,16.779093,0,,,79,59,
1,1.16E+14,1.16E+14,16.778706,0,,,80,60,
