Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence,,,Total Proc Time (ms),,Num,Classifications Per Second,,TOTAL Proc Time (ms),, ((TESTING LABEL))
0,1.82577E+14,1.82577E+14,457.519004,1.82577E+14,1.82577E+14,144.160587,daisy,0.836049,,,601.679591,,0,1,,283985.1913,,daisy
1,1.82577E+14,1.82578E+14,393.569623,1.82578E+14,1.82578E+14,45.142765,daisy,0.88074815,,,438.712388,,1,2,,,,
1,1.82578E+14,1.82578E+14,382.195559,1.82578E+14,1.82578E+14,46.236724,daisy,0.8120335,,,428.432283,,2,1,,Avg Proc Time (ms),, ((DOUBLE CHECK TOTAL CLASSIFICATIONS))
2,1.82578E+14,1.82579E+14,387.665872,1.82579E+14,1.82579E+14,69.749434,daisy,0.7537896,,,457.415306,,3,2,,535.8211156,,530
3,1.82579E+14,1.82579E+14,474.021141,1.82579E+14,1.82579E+14,58.799641,daisy,0.7879415,,,532.820782,,4,2,,,,
3,1.8258E+14,1.8258E+14,470.340099,1.8258E+14,1.8258E+14,69.560215,daisy,0.73284084,,,539.900314,,5,2,,Avg Class per Sec,,
4,1.8258E+14,1.82581E+14,475.69062,1.82581E+14,1.82581E+14,68.833965,daisy,0.78380156,,,544.524585,,6,2,,1.760797342,,
4,1.82581E+14,1.82581E+14,478.823225,1.82581E+14,1.82581E+14,68.37157,daisy,0.770697,,,547.194795,,7,1,,,,
5,1.82581E+14,1.82582E+14,471.661037,1.82582E+14,1.82582E+14,76.034278,daisy,0.71256375,,,547.695315,,8,2,,Total Classifications,,
5,1.82582E+14,1.82582E+14,471.130411,1.82582E+14,1.82582E+14,67.258705,daisy,0.66760564,,,538.389116,,9,2,,530,,
6,1.82582E+14,1.82583E+14,465.808796,1.82583E+14,1.82583E+14,71.316257,daisy,0.67050457,,,537.125053,,10,2,,,,
6,1.82583E+14,1.82583E+14,464.788379,1.82583E+14,1.82583E+14,62.388756,daisy,0.6284317,,,527.177135,,11,1,,True Positives,,
7,1.82583E+14,1.82584E+14,479.962652,1.82584E+14,1.82584E+14,70.140684,daisy,0.54578584,,,550.103336,,12,2,,530,,
8,1.82584E+14,1.82585E+14,467.07713,1.82585E+14,1.82585E+14,64.560214,daisy,0.6129233,,,531.637344,,13,2,,,,
8,1.82585E+14,1.82585E+14,468.636401,1.82585E+14,1.82585E+14,60.013131,daisy,0.5373769,,,528.649532,,14,2,,False Negatives,,
9,1.82585E+14,1.82586E+14,465.615828,1.82586E+14,1.82586E+14,71.842507,daisy,0.55286014,,,537.458335,,15,1,,0,,
9,1.82586E+14,1.82586E+14,468.856244,1.82586E+14,1.82586E+14,67.289643,daisy,0.554506,,,536.145887,,16,2,,,,
10,1.82586E+14,1.82587E+14,470.629786,1.82587E+14,1.82587E+14,58.607923,daisy,0.76730394,,,529.237709,,17,2,,Recall,,
10,1.82587E+14,1.82587E+14,471.443901,1.82587E+14,1.82587E+14,66.022923,daisy,0.7287314,,,537.466824,,18,2,,1,,
11,1.82587E+14,1.82588E+14,470.282078,1.82588E+14,1.82588E+14,63.967454,daisy,0.52586496,,,534.249532,,19,1,,,,
12,1.82588E+14,1.82588E+14,467.581505,1.82588E+14,1.82589E+14,64.94761,daisy,0.58552516,,,532.529115,,20,2,,,,
12,1.82589E+14,1.82589E+14,471.147182,1.82589E+14,1.82589E+14,70.537924,daisy,0.7285499,,,541.685106,,21,2,,,,
13,1.82589E+14,1.8259E+14,467.193588,1.8259E+14,1.8259E+14,65.800892,daisy,0.63389075,,,532.99448,,22,2,,,,
13,1.8259E+14,1.8259E+14,469.829265,1.8259E+14,1.8259E+14,58.256725,daisy,0.5705534,,,528.08599,,23,2,,,,
14,1.8259E+14,1.82591E+14,468.309005,1.82591E+14,1.82591E+14,71.321257,daisy,0.72812897,,,539.630262,,24,1,,,,
14,1.82591E+14,1.82591E+14,470.549682,1.82591E+14,1.82591E+14,64.435684,daisy,0.8191105,,,534.985366,,25,2,,,,
15,1.82591E+14,1.82592E+14,467.741713,1.82592E+14,1.82592E+14,63.24735,daisy,0.73401976,,,530.989063,,26,2,,,,
16,1.82592E+14,1.82592E+14,465.855671,1.82592E+14,1.82592E+14,62.824434,daisy,0.6335007,,,528.680105,,27,2,,,,
16,1.82593E+14,1.82593E+14,475.479422,1.82593E+14,1.82593E+14,71.476048,daisy,0.48864427,,,546.95547,,28,1,,,,
17,1.82593E+14,1.82594E+14,466.38364,1.82594E+14,1.82594E+14,83.744019,daisy,0.75646865,,,550.127659,,29,2,,,,
17,1.82594E+14,1.82594E+14,466.901505,1.82594E+14,1.82594E+14,56.494536,daisy,0.5053476,,,523.396041,,30,2,,,,
18,1.82594E+14,1.82595E+14,476.216818,1.82595E+14,1.82595E+14,73.321258,daisy,0.6892471,,,549.538076,,31,2,,,,
18,1.82595E+14,1.82595E+14,462.548901,1.82595E+14,1.82595E+14,68.181309,daisy,0.5808517,,,530.73021,,32,1,,,,
19,1.82595E+14,1.82596E+14,468.117442,1.82596E+14,1.82596E+14,60.815423,daisy,0.68556696,,,528.932865,,33,2,,,,
20,1.82596E+14,1.82596E+14,473.736766,1.82596E+14,1.82596E+14,65.092402,daisy,0.51275724,,,538.829168,,34,2,,,,
20,1.82597E+14,1.82597E+14,465.642338,1.82597E+14,1.82597E+14,65.624538,daisy,0.6409338,,,531.266876,,35,2,,,,
21,1.82597E+14,1.82598E+14,461.988484,1.82598E+14,1.82598E+14,68.778809,daisy,0.61469024,,,530.767293,,36,1,,,,
21,1.82598E+14,1.82598E+14,470.702339,1.82598E+14,1.82598E+14,89.55829,daisy,0.53938496,,,560.260629,,37,2,,,,
22,1.82598E+14,1.82599E+14,465.882911,1.82599E+14,1.82599E+14,66.84584,daisy,0.44639394,,,532.728751,,38,2,,,,
22,1.82599E+14,1.82599E+14,468.362651,1.82599E+14,1.82599E+14,64.848809,daisy,0.5302805,,,533.21146,,39,2,,,,
23,1.82599E+14,1.826E+14,469.525255,1.826E+14,1.826E+14,63.788444,daisy,0.5597766,,,533.313699,,40,2,,,,
23,1.826E+14,1.826E+14,463.982702,1.826E+14,1.826E+14,67.064642,daisy,0.49067888,,,531.047344,,41,1,,,,
24,1.826E+14,1.82601E+14,473.146141,1.82601E+14,1.82601E+14,63.40834,daisy,0.52061397,,,536.554481,,42,2,,,,
25,1.82601E+14,1.82602E+14,474.870568,1.82602E+14,1.82602E+14,63.112611,daisy,0.6057351,,,537.983179,,43,2,,,,
25,1.82602E+14,1.82602E+14,462.666035,1.82602E+14,1.82602E+14,70.784225,daisy,0.54951465,,,533.45026,,44,2,,,,
26,1.82602E+14,1.82603E+14,465.393693,1.82603E+14,1.82603E+14,59.082402,daisy,0.5397083,,,524.476095,,45,1,,,,
26,1.82603E+14,1.82603E+14,473.58786,1.82603E+14,1.82603E+14,77.223393,daisy,0.48431304,,,550.811253,,46,2,,,,
27,1.82603E+14,1.82604E+14,466.144682,1.82604E+14,1.82604E+14,62.479225,daisy,0.46014404,,,528.623907,,47,2,,,,
27,1.82604E+14,1.82604E+14,471.53812,1.82604E+14,1.82604E+14,60.019381,daisy,0.6668543,,,531.557501,,48,2,,,,
28,1.82604E+14,1.82605E+14,479.723589,1.82605E+14,1.82605E+14,72.69782,daisy,0.5935517,,,552.421409,,49,1,,,,
29,1.82605E+14,1.82605E+14,486.803955,1.82605E+14,1.82606E+14,65.463079,daisy,0.5355088,,,552.267034,,50,2,,,,
29,1.82606E+14,1.82606E+14,466.272807,1.82606E+14,1.82606E+14,69.730215,daisy,0.5200881,,,536.003022,,51,2,,,,
30,1.82606E+14,1.82607E+14,473.279631,1.82607E+14,1.82607E+14,59.530943,daisy,0.507944,,,532.810574,,52,2,,,,
30,1.82607E+14,1.82607E+14,470.369161,1.82607E+14,1.82607E+14,78.946519,daisy,0.5100959,,,549.31568,,53,1,,,,
31,1.82607E+14,1.82608E+14,465.00864,1.82608E+14,1.82608E+14,65.768183,daisy,0.6103843,,,530.776823,,54,2,,,,
31,1.82608E+14,1.82608E+14,468.307963,1.82608E+14,1.82608E+14,60.514381,daisy,0.6367223,,,528.822344,,55,2,,,,
32,1.82608E+14,1.82609E+14,463.856609,1.82609E+14,1.82609E+14,56.408704,daisy,0.5035105,,,520.265313,,56,2,,,,
33,1.82609E+14,1.82609E+14,468.281713,1.82609E+14,1.8261E+14,82.413394,daisy,0.51434165,,,550.695107,,57,1,,,,
33,1.8261E+14,1.8261E+14,465.871973,1.8261E+14,1.8261E+14,68.067767,daisy,0.5877395,,,533.93974,,58,2,,,,
34,1.8261E+14,1.82611E+14,473.537027,1.82611E+14,1.82611E+14,63.157038,daisy,0.64898837,,,536.694065,,59,2,,,,
34,1.82611E+14,1.82611E+14,470.942026,1.82611E+14,1.82611E+14,66.491569,daisy,0.8136933,,,537.433595,,60,2,,,,
35,1.82611E+14,1.82612E+14,465.690984,1.82612E+14,1.82612E+14,59.408131,daisy,0.51013863,,,525.099115,,61,1,,,,
35,1.82612E+14,1.82612E+14,475.642496,1.82612E+14,1.82612E+14,66.883496,daisy,0.45013386,,,542.525992,,62,2,,,,
36,1.82612E+14,1.82613E+14,469.812911,1.82613E+14,1.82613E+14,67.719278,daisy,0.58226514,,,537.532189,,63,2,,,,
37,1.82613E+14,1.82613E+14,475.696922,1.82613E+14,1.82613E+14,69.716621,daisy,0.61792225,,,545.413543,,64,2,,,,
37,1.82613E+14,1.82614E+14,468.39338,1.82614E+14,1.82614E+14,66.189173,daisy,0.6475441,,,534.582553,,65,2,,,,
38,1.82614E+14,1.82615E+14,468.157599,1.82615E+14,1.82615E+14,68.093444,daisy,0.54756737,,,536.251043,,66,1,,,,
38,1.82615E+14,1.82615E+14,467.320463,1.82615E+14,1.82615E+14,67.235059,daisy,0.5650058,,,534.555522,,67,2,,,,
39,1.82615E+14,1.82616E+14,470.359942,1.82616E+14,1.82616E+14,66.82209,daisy,0.50325644,,,537.182032,,68,2,,,,
39,1.82616E+14,1.82616E+14,468.414839,1.82616E+14,1.82616E+14,64.86636,daisy,0.56637836,,,533.281199,,69,2,,,,
40,1.82616E+14,1.82617E+14,469.70812,1.82617E+14,1.82617E+14,63.671517,daisy,0.5482722,,,533.379637,,70,1,,,,
40,1.82617E+14,1.82617E+14,468.334891,1.82617E+14,1.82617E+14,73.037507,daisy,0.66115105,,,541.372398,,71,2,,,,
