Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,Min FPS
0,1.18E+14,1.18E+14,33.780882,1,,,0,49,25
0,1.18E+14,1.18E+14,200.179761,11,,,1,59,
0,1.18E+14,1.18E+14,17.737992,0,,,2,60,Max FPS
0,1.18E+14,1.18E+14,33.421864,1,,,3,60,60
0,1.18E+14,1.18E+14,16.843938,0,,,4,60,
0,1.18E+14,1.18E+14,16.755315,0,,,5,59,Avg FPS
0,1.18E+14,1.18E+14,16.75542,0,,,6,60,59.50498339
0,1.18E+14,1.18E+14,16.755497,0,,,7,60,
0,1.18E+14,1.18E+14,16.755529,0,,,8,59,
0,1.18E+14,1.18E+14,16.755317,0,,,9,60,
0,1.18E+14,1.18E+14,16.755264,0,,,10,60,
0,1.18E+14,1.18E+14,16.754798,0,,,11,59,
0,1.18E+14,1.18E+14,16.754904,0,,,12,60,
0,1.18E+14,1.18E+14,16.754745,0,,,13,60,
0,1.18E+14,1.18E+14,16.755168,0,,,14,59,
0,1.18E+14,1.18E+14,16.754707,0,,,15,60,
0,1.18E+14,1.18E+14,16.755036,0,,,16,60,
0,1.18E+14,1.18E+14,16.75508,0,,,17,59,
0,1.18E+14,1.18E+14,16.755074,0,,,18,60,
0,1.18E+14,1.18E+14,16.754951,0,,,19,60,
0,1.18E+14,1.18E+14,16.755048,0,,,20,59,
0,1.18E+14,1.18E+14,16.755071,0,,,21,60,
0,1.18E+14,1.18E+14,16.75503,0,,,22,60,
0,1.18E+14,1.18E+14,16.754905,0,,,23,60,
0,1.18E+14,1.18E+14,16.755101,0,,,24,59,
0,1.18E+14,1.18E+14,16.754669,0,,,25,60,
0,1.18E+14,1.18E+14,16.755063,0,,,26,60,
0,1.18E+14,1.18E+14,16.755049,0,,,27,59,
0,1.18E+14,1.18E+14,16.755027,0,,,28,60,
0,1.18E+14,1.18E+14,16.755054,0,,,29,60,
0,1.18E+14,1.18E+14,16.754928,0,,,30,59,
0,1.18E+14,1.18E+14,16.754544,0,,,31,60,
0,1.18E+14,1.18E+14,16.754421,0,,,32,60,
0,1.18E+14,1.18E+14,16.754543,0,,,33,59,
0,1.18E+14,1.18E+14,16.755101,0,,,34,60,
0,1.18E+14,1.18E+14,16.754583,0,,,35,60,
0,1.18E+14,1.18E+14,16.754455,0,,,36,59,
0,1.18E+14,1.18E+14,16.754611,0,,,37,60,
0,1.18E+14,1.18E+14,16.754423,0,,,38,60,
0,1.18E+14,1.18E+14,16.754512,0,,,39,59,
0,1.18E+14,1.18E+14,16.754585,0,,,40,60,
0,1.18E+14,1.18E+14,16.754621,0,,,41,60,
0,1.18E+14,1.18E+14,16.754583,0,,,42,60,
0,1.18E+14,1.18E+14,16.754598,0,,,43,59,
0,1.18E+14,1.18E+14,16.754434,0,,,44,60,
0,1.18E+14,1.18E+14,16.754562,0,,,45,60,
0,1.18E+14,1.18E+14,16.754221,0,,,46,59,
0,1.18E+14,1.18E+14,16.754088,0,,,47,60,
0,1.18E+14,1.18E+14,16.754379,0,,,48,60,
1,1.18E+14,1.18E+14,16.754194,0,,,49,59,
1,1.18E+14,1.18E+14,16.754897,0,,,50,60,
1,1.18E+14,1.18E+14,16.755015,0,,,51,60,
1,1.18E+14,1.18E+14,16.755003,0,,,52,59,
1,1.18E+14,1.18E+14,16.754477,0,,,53,60,
1,1.18E+14,1.18E+14,16.75502,0,,,54,60,
1,1.18E+14,1.18E+14,16.755085,0,,,55,59,
1,1.18E+14,1.18E+14,16.755011,0,,,56,60,
1,1.18E+14,1.18E+14,16.755081,0,,,57,60,
1,1.18E+14,1.18E+14,16.754978,0,,,58,59,
1,1.18E+14,1.18E+14,16.754981,0,,,59,60,
1,1.18E+14,1.18E+14,16.754803,0,,,60,60,
1,1.18E+14,1.18E+14,16.755052,0,,,61,59,
1,1.18E+14,1.18E+14,16.755006,0,,,62,60,
1,1.18E+14,1.18E+14,16.754971,0,,,63,60,
1,1.18E+14,1.18E+14,16.754988,0,,,64,59,
1,1.18E+14,1.18E+14,16.754447,0,,,65,60,
1,1.18E+14,1.18E+14,16.754441,0,,,66,60,
1,1.18E+14,1.18E+14,16.754534,0,,,67,59,
1,1.18E+14,1.18E+14,16.754518,0,,,68,60,
1,1.18E+14,1.18E+14,16.754476,0,,,69,60,
1,1.18E+14,1.18E+14,16.754443,0,,,70,60,
1,1.18E+14,1.18E+14,16.754496,0,,,71,59,
1,1.18E+14,1.18E+14,16.754462,0,,,72,60,
1,1.18E+14,1.18E+14,16.75423,0,,,73,60,
1,1.18E+14,1.18E+14,16.754188,0,,,74,59,
1,1.18E+14,1.18E+14,16.754459,0,,,75,60,
1,1.18E+14,1.18E+14,16.754369,0,,,76,60,
1,1.18E+14,1.18E+14,16.754559,0,,,77,59,
1,1.18E+14,1.18E+14,16.75476,0,,,78,60,
1,1.18E+14,1.18E+14,16.754482,0,,,79,60,
1,1.18E+14,1.18E+14,16.754417,0,,,80,59,
1,1.18E+14,1.18E+14,16.754469,0,,,81,60,
1,1.18E+14,1.18E+14,16.754275,0,,,82,60,
1,1.18E+14,1.18E+14,16.754465,0,,,83,59,
1,1.18E+14,1.18E+14,16.754568,0,,,84,60,
1,1.18E+14,1.18E+14,16.754735,0,,,85,60,
1,1.18E+14,1.18E+14,16.75457,0,,,86,59,
1,1.18E+14,1.18E+14,16.754623,0,,,87,60,
1,1.18E+14,1.18E+14,16.754514,0,,,88,60,
1,1.18E+14,1.18E+14,16.754661,0,,,89,59,
1,1.18E+14,1.18E+14,16.754494,0,,,90,60,
1,1.18E+14,1.18E+14,16.754671,0,,,91,60,
1,1.18E+14,1.18E+14,16.754464,0,,,92,59,
1,1.18E+14,1.18E+14,16.754634,0,,,93,60,
1,1.18E+14,1.18E+14,16.754496,0,,,94,60,
1,1.18E+14,1.18E+14,16.754158,0,,,95,59,
1,1.18E+14,1.18E+14,16.754185,0,,,96,60,
1,1.18E+14,1.18E+14,16.754142,0,,,97,60,
1,1.18E+14,1.18E+14,16.754146,0,,,98,60,
1,1.18E+14,1.18E+14,16.754131,0,,,99,59,
1,1.18E+14,1.18E+14,16.754155,0,,,100,60,
1,1.18E+14,1.18E+14,16.754158,0,,,101,60,
1,1.18E+14,1.18E+14,16.754083,0,,,102,59,
1,1.18E+14,1.18E+14,16.754079,0,,,103,60,
1,1.18E+14,1.18E+14,16.754167,0,,,104,60,
1,1.18E+14,1.18E+14,16.754411,0,,,105,59,
1,1.18E+14,1.18E+14,16.754322,0,,,106,60,
1,1.18E+14,1.18E+14,16.754271,0,,,107,60,
