Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,Min FPS
0,1.19E+14,1.19E+14,33.745051,1,,,0,48,34
0,1.19E+14,1.19E+14,183.538548,10,,,1,59,
0,1.19E+14,1.19E+14,67.789003,3,,,2,60,Max FPS
0,1.19E+14,1.19E+14,17.070444,0,,,3,60,60
0,1.19E+14,1.19E+14,16.76703,0,,,4,59,
0,1.19E+14,1.19E+14,16.767444,0,,,5,60,Avg FPS
0,1.19E+14,1.19E+14,16.767358,0,,,6,60,59.49833887
0,1.19E+14,1.19E+14,16.767271,0,,,7,59,
0,1.19E+14,1.19E+14,16.767199,0,,,8,60,
0,1.19E+14,1.19E+14,16.767194,0,,,9,60,
0,1.19E+14,1.19E+14,16.767019,0,,,10,59,
0,1.19E+14,1.19E+14,16.766646,0,,,11,60,
0,1.19E+14,1.19E+14,16.766889,0,,,12,60,
0,1.19E+14,1.19E+14,16.766947,0,,,13,59,
0,1.19E+14,1.19E+14,16.767026,0,,,14,60,
0,1.19E+14,1.19E+14,16.766677,0,,,15,60,
0,1.19E+14,1.19E+14,16.766871,0,,,16,59,
0,1.19E+14,1.19E+14,16.766737,0,,,17,60,
0,1.19E+14,1.19E+14,16.766657,0,,,18,59,
0,1.19E+14,1.19E+14,16.76634,0,,,19,60,
0,1.19E+14,1.19E+14,16.766564,0,,,20,60,
0,1.19E+14,1.19E+14,16.76652,0,,,21,59,
0,1.19E+14,1.19E+14,16.766418,0,,,22,60,
0,1.19E+14,1.19E+14,16.766401,0,,,23,60,
0,1.19E+14,1.19E+14,16.766306,0,,,24,59,
0,1.19E+14,1.19E+14,16.766319,0,,,25,60,
0,1.19E+14,1.19E+14,16.766159,0,,,26,60,
0,1.19E+14,1.19E+14,16.766212,0,,,27,59,
0,1.19E+14,1.19E+14,16.76622,0,,,28,60,
0,1.19E+14,1.19E+14,16.766155,0,,,29,60,
0,1.19E+14,1.19E+14,16.766002,0,,,30,59,
0,1.19E+14,1.19E+14,16.76589,0,,,31,60,
0,1.19E+14,1.19E+14,16.765516,0,,,32,60,
0,1.19E+14,1.19E+14,16.766086,0,,,33,59,
0,1.19E+14,1.19E+14,16.765214,0,,,34,60,
0,1.19E+14,1.19E+14,16.765179,0,,,35,59,
0,1.19E+14,1.19E+14,16.765188,0,,,36,60,
0,1.19E+14,1.19E+14,16.76519,0,,,37,60,
0,1.19E+14,1.19E+14,16.765163,0,,,38,59,
0,1.19E+14,1.19E+14,16.765168,0,,,39,60,
0,1.19E+14,1.19E+14,16.765152,0,,,40,60,
0,1.19E+14,1.19E+14,16.765118,0,,,41,59,
0,1.19E+14,1.19E+14,16.765135,0,,,42,60,
0,1.19E+14,1.19E+14,16.765126,0,,,43,60,
0,1.19E+14,1.19E+14,16.765112,0,,,44,59,
0,1.19E+14,1.19E+14,16.765148,0,,,45,60,
0,1.19E+14,1.19E+14,16.765131,0,,,46,60,
