Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3574536k used 157072k free 137428k buffers ,3731608,3574536,157072,137428,, 800%cpu 124%user 21%nice 45%sys 600%idle 3%iow 3%irq 3%sirq 0%host ,800,124,,45,,
2,5, Mem: 3731608k total 3485560k used 246048k free 127860k buffers ,3731608,3485560,246048,127860,, 800%cpu 313%user 7%nice 60%sys 417%idle 0%iow 3%irq 0%sirq 0%host ,800,313,,60,,
3,10, Mem: 3731608k total 3479204k used 252404k free 127860k buffers ,3731608,3479204,252404,127860,, 800%cpu 293%user 3%nice 63%sys 437%idle 0%iow 3%irq 0%sirq 0%host ,800,293,,63,,
4,15, Mem: 3731608k total 3480496k used 251112k free 127860k buffers ,3731608,3480496,251112,127860,, 800%cpu 290%user 0%nice 70%sys 433%idle 3%iow 0%irq 3%sirq 0%host ,800,290,,70,,
5,21, Mem: 3731608k total 3480160k used 251448k free 127864k buffers ,3731608,3480160,251448,127864,, 800%cpu 271%user 3%nice 65%sys 455%idle 0%iow 6%irq 0%sirq 0%host ,800,271,,65,,
6,26, Mem: 3731608k total 3479372k used 252236k free 127864k buffers ,3731608,3479372,252236,127864,, 800%cpu 265%user 3%nice 55%sys 474%idle 0%iow 3%irq 0%sirq 0%host ,800,265,,55,,
7,31, Mem: 3731608k total 3475932k used 255676k free 127864k buffers ,3731608,3475932,255676,127864,, 800%cpu 303%user 10%nice 71%sys 406%idle 0%iow 6%irq 3%sirq 0%host ,800,303,,71,,
8,36, Mem: 3731608k total 3476952k used 254656k free 127864k buffers ,3731608,3476952,254656,127864,, 800%cpu 303%user 0%nice 45%sys 452%idle 0%iow 0%irq 0%sirq 0%host ,800,303,,45,,
9,41, Mem: 3731608k total 3473032k used 258576k free 127864k buffers ,3731608,3473032,258576,127864,, 800%cpu 270%user 3%nice 50%sys 470%idle 0%iow 7%irq 0%sirq 0%host ,800,270,,50,,
10,46, Mem: 3731608k total 3475096k used 256512k free 127864k buffers ,3731608,3475096,256512,127864,, 800%cpu 244%user 6%nice 41%sys 506%idle 0%iow 3%irq 0%sirq 0%host ,800,244,,41,,
11,51, Mem: 3731608k total 3475656k used 255952k free 127884k buffers ,3731608,3475656,255952,127884,, 800%cpu 280%user 0%nice 47%sys 467%idle 0%iow 3%irq 3%sirq 0%host ,800,280,,47,,
12,56, Mem: 3731608k total 3477828k used 253780k free 127896k buffers ,3731608,3477828,253780,127896,, 800%cpu 261%user 0%nice 45%sys 487%idle 0%iow 6%irq 0%sirq 0%host ,800,261,,45,,
13,61, Mem: 3731608k total 3476432k used 255176k free 127924k buffers ,3731608,3476432,255176,127924,, 800%cpu 297%user 6%nice 65%sys 426%idle 0%iow 6%irq 0%sirq 0%host ,800,297,,65,,
14,66, Mem: 3731608k total 3476412k used 255196k free 127924k buffers ,3731608,3476412,255196,127924,, 800%cpu 250%user 3%nice 60%sys 473%idle 0%iow 7%irq 7%sirq 0%host ,800,250,,60,,
15,71, Mem: 3731608k total 3476244k used 255364k free 127936k buffers ,3731608,3476244,255364,127936,, 800%cpu 281%user 6%nice 45%sys 465%idle 0%iow 3%irq 0%sirq 0%host ,800,281,,45,,
16,76, Mem: 3731608k total 3480136k used 251472k free 127936k buffers ,3731608,3480136,251472,127936,, 800%cpu 277%user 3%nice 57%sys 457%idle 0%iow 7%irq 0%sirq 0%host ,800,277,,57,,
17,81, Mem: 3731608k total 3472512k used 259096k free 127992k buffers ,3731608,3472512,259096,127992,, 800%cpu 265%user 0%nice 45%sys 487%idle 0%iow 3%irq 0%sirq 0%host ,800,265,,45,,
18,86, Mem: 3731608k total 3471368k used 260240k free 127992k buffers ,3731608,3471368,260240,127992,, 800%cpu 260%user 3%nice 53%sys 477%idle 0%iow 3%irq 3%sirq 0%host ,800,260,,53,,
19,91, Mem: 3731608k total 3472316k used 259292k free 128000k buffers ,3731608,3472316,259292,128000,, 800%cpu 241%user 3%nice 47%sys 506%idle 0%iow 3%irq 0%sirq 0%host ,800,241,,47,,
