Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0,3731608,3356216,375392,145248,0.899402081,800,200,0.25,121,0.15125
2,5,3731608,3486436,245172,143452,0.934298565,800,274,0.3425,61,0.07625
3,10,3731608,3475700,255908,143452,0.931421521,800,273,0.34125,67,0.08375
4,15,3731608,3478564,253044,143456,0.932189019,800,280,0.35,47,0.05875
5,20,3731608,3475896,255712,143456,0.931474046,800,313,0.39125,68,0.085
6,25,3731608,3477056,254552,143464,0.931784903,800,319,0.39875,61,0.07625
7,30,3731608,3476528,255080,143464,0.931643409,800,275,0.34375,78,0.0975
8,35,3731608,3475192,256416,143464,0.931285387,800,226,0.2825,58,0.0725
9,40,3731608,3476848,254760,143480,0.931729163,800,284,0.355,61,0.07625
10,45,3731608,3477568,254040,143484,0.93192211,800,284,0.355,41,0.05125
11,50,3731608,3475740,255868,143488,0.93143224,800,273,0.34125,67,0.08375
12,55,3731608,3475316,256292,143488,0.931318617,800,303,0.37875,58,0.0725
13,60,3731608,3476652,254956,143488,0.931676639,800,248,0.31,42,0.0525
14,65,3731608,3476208,255400,143488,0.931557656,800,347,0.43375,63,0.07875
15,70,3731608,3474172,257436,143488,0.931012046,800,284,0.355,50,0.0625
16,75,3731608,3477024,254584,143488,0.931776328,800,294,0.3675,50,0.0625
17,80,3731608,3474540,257068,143496,0.931110663,800,323,0.40375,55,0.06875
18,85,3731608,3474132,257476,143496,0.931001327,800,282,0.3525,61,0.07625
19,90,3731608,3475928,255680,143496,0.931482621,800,338,0.4225,119,0.14875
20,95,3731608,3476500,255108,143496,0.931635906,800,339,0.42375,55,0.06875
21,100,3731608,3475720,255888,143504,0.931426881,800,275,0.34375,56,0.07
22,105,3731608,3476992,254616,143508,0.931767753,800,331,0.41375,53,0.06625
23,110,3731608,3474464,257144,143508,0.931090297,800,258,0.3225,52,0.065
24,115,3731608,3476388,255220,143508,0.931605892,800,300,0.375,61,0.07625
25,120,3731608,3477732,253876,143508,0.931966059,800,316,0.395,56,0.07
26,125,3731608,3476776,254832,143508,0.931709869,800,252,0.315,42,0.0525
27,130,3731608,3479596,252012,143508,0.932465575,800,288,0.36,53,0.06625
28,135,3731608,3475784,255824,143508,0.931444032,800,256,0.32,59,0.07375
29,140,3731608,3476680,254928,143508,0.931684143,800,275,0.34375,56,0.07
30,145,3731608,3478156,253452,143508,0.932079683,800,322,0.4025,72,0.09
31,150,3731608,3475924,255684,143508,0.931481549,800,206,0.2575,53,0.06625
32,155,3731608,3475724,255884,143508,0.931427953,800,241,0.30125,63,0.07875
33,160,3731608,3478324,253284,143508,0.932124703,800,312,0.39,67,0.08375
34,165,3731608,3475904,255704,143508,0.931476189,800,247,0.30875,50,0.0625
35,170,3731608,3477640,253968,143508,0.931941404,800,322,0.4025,66,0.0825
36,175,3731608,3479472,252136,143508,0.932432346,800,300,0.375,56,0.07
37,180,3731608,3475748,255860,143508,0.931434384,800,306,0.3825,50,0.0625
38,185,3731608,3476444,255164,143508,0.931620899,800,329,0.41125,55,0.06875
39,190,3731608,3479408,252200,143508,0.932415195,800,313,0.39125,59,0.07375
40,195,3731608,3478632,252976,143508,0.932207241,800,294,0.3675,50,0.0625
41,200,3731608,3479776,251832,143512,0.932513812,800,338,0.4225,66,0.0825
42,205,3731608,3478852,252756,143512,0.932266197,800,288,0.36,59,0.07375
43,210,3731608,3478044,253564,143512,0.932049669,800,281,0.35125,72,0.09
44,215,3731608,3478988,252620,143516,0.932302643,800,266,0.3325,50,0.0625
45,220,3731608,3475672,255936,143516,0.931414018,800,309,0.38625,63,0.07875
46,225,3731608,3479556,252052,143520,0.932454856,800,331,0.41375,63,0.07875
47,230,3731608,3480472,251136,143520,0.932700327,800,331,0.41375,59,0.07375
48,235,3731608,3477524,254084,143520,0.931910319,800,248,0.31,55,0.06875
49,240,3731608,3478732,252876,143520,0.93223404,800,321,0.40125,58,0.0725
