Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0,3731608,3543808,187800,168308,0.94967317,800,123,0.15375,32,0.04
2,5,3731608,3448552,283056,163912,0.924146373,800,287,0.35875,87,0.10875
3,10,3731608,3447280,284328,163912,0.923805502,800,287,0.35875,63,0.07875
4,15,3731608,3447792,283816,163912,0.923942708,800,307,0.38375,67,0.08375
5,20,3731608,3447760,283848,163912,0.923934132,800,310,0.3875,48,0.06
6,25,3731608,3447356,284252,163912,0.923825868,800,281,0.35125,45,0.05625
7,30,3731608,3450136,281472,163912,0.924570855,800,250,0.3125,47,0.05875
8,35,3731608,3446648,284960,163912,0.923636138,800,287,0.35875,52,0.065
9,40,3731608,3445116,286492,163912,0.923225591,800,328,0.41,63,0.07875
10,45,3731608,3449856,281752,163912,0.924495821,800,353,0.44125,69,0.08625
11,50,3731608,3450976,280632,163912,0.924795959,800,355,0.44375,61,0.07625
12,55,3731608,3448732,282876,163912,0.92419461,800,242,0.3025,52,0.065
13,60,3731608,3451584,280024,163912,0.924958892,800,294,0.3675,55,0.06875
14,65,3731608,3452704,278904,163912,0.92525903,800,258,0.3225,52,0.065
15,70,3731608,3448464,283144,163912,0.924122791,800,256,0.32,44,0.055
16,75,3731608,3449572,282036,163912,0.924419714,800,303,0.37875,65,0.08125
17,80,3731608,3450744,280864,163912,0.924733788,800,278,0.3475,56,0.07
18,85,3731608,3447500,284108,163912,0.923864457,800,344,0.43,56,0.07
19,90,3731608,3451232,280376,163912,0.924864562,800,291,0.36375,56,0.07
20,95,3731608,3448956,282652,163912,0.924254638,800,281,0.35125,53,0.06625
21,100,3731608,3452152,279456,163912,0.925111105,800,316,0.395,68,0.085
22,105,3731608,3454752,276856,163944,0.925807855,800,288,0.36,66,0.0825
23,110,3731608,3451432,280176,163944,0.924918159,800,290,0.3625,58,0.0725
24,116,3731608,3455400,276208,163944,0.925981507,800,281,0.35125,56,0.07
25,121,3731608,3453868,277740,163944,0.92557096,800,273,0.34125,61,0.07625
26,126,3731608,3455756,275852,163944,0.926076908,800,273,0.34125,58,0.0725
27,131,3731608,3452928,278680,163944,0.925319058,800,270,0.3375,58,0.0725
28,136,3731608,3454272,277336,163944,0.925679225,800,325,0.40625,53,0.06625
29,141,3731608,3454212,277396,163944,0.925663146,800,330,0.4125,67,0.08375
30,146,3731608,3452504,279104,163944,0.925205434,800,309,0.38625,56,0.07
31,151,3731608,3454028,277580,163944,0.925613837,800,339,0.42375,55,0.06875
32,156,3731608,3451508,280100,163944,0.924938525,800,288,0.36,50,0.0625
33,161,3731608,3455120,276488,163944,0.925906472,800,275,0.34375,59,0.07375
34,166,3731608,3457676,273932,163948,0.926591432,800,328,0.41,56,0.07
35,171,3731608,3455768,275840,163948,0.926080124,800,328,0.41,59,0.07375
36,176,3731608,3455660,275948,163948,0.926051182,800,322,0.4025,66,0.0825
37,181,3731608,3454844,276764,163948,0.92583251,800,284,0.355,53,0.06625
