Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3440440k used 291168k free 136448k buffers ,3731608,3440440,291168,136448,, 800%cpu 316%user 0%nice 56%sys 422%idle 0%iow 6%irq 0%sirq 0%host ,800,316,,56,,
2,6, Mem: 3731608k total 3423556k used 308052k free 136452k buffers ,3731608,3423556,308052,136452,, 800%cpu 313%user 0%nice 63%sys 419%idle 0%iow 3%irq 3%sirq 0%host ,800,313,,63,,
3,11, Mem: 3731608k total 3430228k used 301380k free 136452k buffers ,3731608,3430228,301380,136452,, 800%cpu 322%user 0%nice 63%sys 406%idle 0%iow 9%irq 0%sirq 0%host ,800,322,,63,,
4,16, Mem: 3731608k total 3430660k used 300948k free 136452k buffers ,3731608,3430660,300948,136452,, 800%cpu 328%user 0%nice 66%sys 397%idle 0%iow 6%irq 3%sirq 0%host ,800,328,,66,,
5,21, Mem: 3731608k total 3437408k used 294200k free 136452k buffers ,3731608,3437408,294200,136452,, 800%cpu 252%user 3%nice 55%sys 485%idle 0%iow 6%irq 0%sirq 0%host ,800,252,,55,,
6,26, Mem: 3731608k total 3438144k used 293464k free 136456k buffers ,3731608,3438144,293464,136456,, 800%cpu 300%user 0%nice 47%sys 444%idle 0%iow 6%irq 3%sirq 0%host ,800,300,,47,,
7,31, Mem: 3731608k total 3437364k used 294244k free 136456k buffers ,3731608,3437364,294244,136456,, 800%cpu 300%user 0%nice 65%sys 429%idle 0%iow 3%irq 3%sirq 0%host ,800,300,,65,,
8,36, Mem: 3731608k total 3420968k used 310640k free 136456k buffers ,3731608,3420968,310640,136456,, 800%cpu 291%user 0%nice 50%sys 456%idle 0%iow 3%irq 0%sirq 0%host ,800,291,,50,,
9,41, Mem: 3731608k total 3421748k used 309860k free 136456k buffers ,3731608,3421748,309860,136456,, 800%cpu 281%user 0%nice 66%sys 444%idle 0%iow 6%irq 3%sirq 0%host ,800,281,,66,,
10,46, Mem: 3731608k total 3427872k used 303736k free 136456k buffers ,3731608,3427872,303736,136456,, 800%cpu 272%user 0%nice 53%sys 466%idle 0%iow 6%irq 3%sirq 0%host ,800,272,,53,,
11,51, Mem: 3731608k total 3430656k used 300952k free 136456k buffers ,3731608,3430656,300952,136456,, 800%cpu 286%user 0%nice 57%sys 454%idle 0%iow 3%irq 0%sirq 0%host ,800,286,,57,,
