Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3416836k used 314772k free 77328k buffers ,3731608,3416836,314772,77328,, 800%cpu 209%user 188%nice 128%sys 256%idle 6%iow 9%irq 3%sirq 0%host ,800,209,,128,,
2,5, Mem: 3731608k total 3600240k used 131368k free 77340k buffers ,3731608,3600240,131368,77340,, 800%cpu 250%user 6%nice 53%sys 484%idle 0%iow 6%irq 0%sirq 0%host ,800,250,,53,,
3,10, Mem: 3731608k total 3592448k used 139160k free 77372k buffers ,3731608,3592448,139160,77372,, 800%cpu 291%user 0%nice 44%sys 459%idle 0%iow 6%irq 0%sirq 0%host ,800,291,,44,,
4,15, Mem: 3731608k total 3598496k used 133112k free 77372k buffers ,3731608,3598496,133112,77372,, 800%cpu 294%user 3%nice 47%sys 453%idle 0%iow 3%irq 0%sirq 0%host ,800,294,,47,,
5,20, Mem: 3731608k total 3605420k used 126188k free 77380k buffers ,3731608,3605420,126188,77380,, 800%cpu 253%user 3%nice 59%sys 478%idle 0%iow 3%irq 3%sirq 0%host ,800,253,,59,,
6,25, Mem: 3731608k total 3616364k used 115244k free 77388k buffers ,3731608,3616364,115244,77388,, 800%cpu 247%user 9%nice 69%sys 466%idle 0%iow 6%irq 3%sirq 0%host ,800,247,,69,,
7,30, Mem: 3731608k total 3564804k used 166804k free 77388k buffers ,3731608,3564804,166804,77388,, 800%cpu 241%user 25%nice 69%sys 463%idle 0%iow 3%irq 0%sirq 0%host ,800,241,,69,,
8,35, Mem: 3731608k total 3538192k used 193416k free 77396k buffers ,3731608,3538192,193416,77396,, 800%cpu 255%user 0%nice 58%sys 477%idle 0%iow 6%irq 3%sirq 0%host ,800,255,,58,,
9,40, Mem: 3731608k total 3543488k used 188120k free 77404k buffers ,3731608,3543488,188120,77404,, 800%cpu 261%user 21%nice 55%sys 458%idle 0%iow 6%irq 0%sirq 0%host ,800,261,,55,,
10,45, Mem: 3731608k total 3550600k used 181008k free 77408k buffers ,3731608,3550600,181008,77408,, 800%cpu 228%user 0%nice 66%sys 494%idle 0%iow 9%irq 3%sirq 0%host ,800,228,,66,,
