Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3480544k used 251064k free 124612k buffers ,3731608,3480544,251064,124612,, 800%cpu 309%user 0%nice 53%sys 428%idle 0%iow 9%irq 0%sirq 0%host ,800,309,,53,,
2,5, Mem: 3731608k total 3471416k used 260192k free 124612k buffers ,3731608,3471416,260192,124612,, 800%cpu 252%user 12%nice 52%sys 479%idle 0%iow 6%irq 0%sirq 0%host ,800,252,,52,,
3,11, Mem: 3731608k total 3483348k used 248260k free 124612k buffers ,3731608,3483348,248260,124612,, 800%cpu 300%user 0%nice 65%sys 432%idle 0%iow 3%irq 0%sirq 0%host ,800,300,,65,,
4,16, Mem: 3731608k total 3478220k used 253388k free 124616k buffers ,3731608,3478220,253388,124616,, 800%cpu 253%user 3%nice 44%sys 491%idle 0%iow 6%irq 3%sirq 0%host ,800,253,,44,,
5,21, Mem: 3731608k total 3486368k used 245240k free 124620k buffers ,3731608,3486368,245240,124620,, 800%cpu 247%user 3%nice 59%sys 484%idle 0%iow 3%irq 3%sirq 0%host ,800,247,,59,,
6,26, Mem: 3731608k total 3483052k used 248556k free 124644k buffers ,3731608,3483052,248556,124644,, 800%cpu 259%user 0%nice 47%sys 488%idle 0%iow 6%irq 0%sirq 0%host ,800,259,,47,,
7,31, Mem: 3731608k total 3472988k used 258620k free 124652k buffers ,3731608,3472988,258620,124652,, 800%cpu 297%user 13%nice 61%sys 423%idle 0%iow 6%irq 0%sirq 0%host ,800,297,,61,,
8,36, Mem: 3731608k total 3484288k used 247320k free 124652k buffers ,3731608,3484288,247320,124652,, 800%cpu 256%user 0%nice 56%sys 484%idle 0%iow 3%irq 0%sirq 0%host ,800,256,,56,,
9,41, Mem: 3731608k total 3473352k used 258256k free 124652k buffers ,3731608,3473352,258256,124652,, 800%cpu 275%user 13%nice 63%sys 447%idle 0%iow 3%irq 0%sirq 0%host ,800,275,,63,,
10,46, Mem: 3731608k total 3480568k used 251040k free 124668k buffers ,3731608,3480568,251040,124668,, 800%cpu 241%user 0%nice 53%sys 494%idle 3%iow 6%irq 3%sirq 0%host ,800,241,,53,,
11,51, Mem: 3731608k total 3474016k used 257592k free 124668k buffers ,3731608,3474016,257592,124668,, 800%cpu 274%user 0%nice 61%sys 458%idle 0%iow 6%irq 0%sirq 0%host ,800,274,,61,,
12,56, Mem: 3731608k total 3481392k used 250216k free 124672k buffers ,3731608,3481392,250216,124672,, 800%cpu 281%user 0%nice 69%sys 441%idle 0%iow 6%irq 3%sirq 0%host ,800,281,,69,,
13,61, Mem: 3731608k total 3487176k used 244432k free 124672k buffers ,3731608,3487176,244432,124672,, 800%cpu 284%user 0%nice 45%sys 461%idle 0%iow 6%irq 3%sirq 0%host ,800,284,,45,,
14,66, Mem: 3731608k total 3479744k used 251864k free 124672k buffers ,3731608,3479744,251864,124672,, 800%cpu 284%user 0%nice 58%sys 448%idle 0%iow 6%irq 3%sirq 0%host ,800,284,,58,,
15,71, Mem: 3731608k total 3488964k used 242644k free 124672k buffers ,3731608,3488964,242644,124672,, 800%cpu 328%user 0%nice 50%sys 409%idle 0%iow 6%irq 6%sirq 0%host ,800,328,,50,,
16,76, Mem: 3731608k total 3482976k used 248632k free 124672k buffers ,3731608,3482976,248632,124672,, 800%cpu 259%user 0%nice 63%sys 472%idle 0%iow 3%irq 3%sirq 0%host ,800,259,,63,,
17,81, Mem: 3731608k total 3489116k used 242492k free 124676k buffers ,3731608,3489116,242492,124676,, 800%cpu 288%user 3%nice 56%sys 447%idle 3%iow 3%irq 0%sirq 0%host ,800,288,,56,,
18,86, Mem: 3731608k total 3478116k used 253492k free 124676k buffers ,3731608,3478116,253492,124676,, 800%cpu 338%user 0%nice 47%sys 409%idle 0%iow 6%irq 0%sirq 0%host ,800,338,,47,,
19,91, Mem: 3731608k total 3473716k used 257892k free 124676k buffers ,3731608,3473716,257892,124676,, 800%cpu 300%user 0%nice 53%sys 438%idle 0%iow 6%irq 3%sirq 0%host ,800,300,,53,,
20,96, Mem: 3731608k total 3480548k used 251060k free 124676k buffers ,3731608,3480548,251060,124676,, 800%cpu 300%user 0%nice 53%sys 444%idle 0%iow 3%irq 0%sirq 0%host ,800,300,,53,,
21,101, Mem: 3731608k total 3475792k used 255816k free 124676k buffers ,3731608,3475792,255816,124676,, 800%cpu 269%user 0%nice 53%sys 475%idle 0%iow 3%irq 0%sirq 0%host ,800,269,,53,,
22,106, Mem: 3731608k total 3484440k used 247168k free 124704k buffers ,3731608,3484440,247168,124704,, 800%cpu 225%user 0%nice 63%sys 500%idle 3%iow 6%irq 3%sirq 0%host ,800,225,,63,,
23,111, Mem: 3731608k total 3490220k used 241388k free 124704k buffers ,3731608,3490220,241388,124704,, 800%cpu 316%user 0%nice 52%sys 429%idle 0%iow 3%irq 0%sirq 0%host ,800,316,,52,,
24,116, Mem: 3731608k total 3485116k used 246492k free 124704k buffers ,3731608,3485116,246492,124704,, 800%cpu 269%user 0%nice 59%sys 463%idle 0%iow 6%irq 3%sirq 0%host ,800,269,,59,,
25,121, Mem: 3731608k total 3475224k used 256384k free 124704k buffers ,3731608,3475224,256384,124704,, 800%cpu 319%user 13%nice 53%sys 413%idle 0%iow 3%irq 0%sirq 0%host ,800,319,,53,,
26,126, Mem: 3731608k total 3484936k used 246672k free 124708k buffers ,3731608,3484936,246672,124708,, 800%cpu 247%user 0%nice 50%sys 491%idle 0%iow 9%irq 3%sirq 0%host ,800,247,,50,,
27,131, Mem: 3731608k total 3474632k used 256976k free 124708k buffers ,3731608,3474632,256976,124708,, 800%cpu 313%user 0%nice 44%sys 434%idle 0%iow 6%irq 3%sirq 0%host ,800,313,,44,,
28,136, Mem: 3731608k total 3482208k used 249400k free 124708k buffers ,3731608,3482208,249400,124708,, 800%cpu 306%user 0%nice 68%sys 416%idle 0%iow 6%irq 3%sirq 0%host ,800,306,,68,,
29,141, Mem: 3731608k total 3476528k used 255080k free 124716k buffers ,3731608,3476528,255080,124716,, 800%cpu 281%user 0%nice 53%sys 459%idle 0%iow 6%irq 0%sirq 0%host ,800,281,,53,,
30,146, Mem: 3731608k total 3484256k used 247352k free 124716k buffers ,3731608,3484256,247352,124716,, 800%cpu 247%user 0%nice 59%sys 484%idle 3%iow 3%irq 3%sirq 0%host ,800,247,,59,,
31,151, Mem: 3731608k total 3479300k used 252308k free 124716k buffers ,3731608,3479300,252308,124716,, 800%cpu 285%user 0%nice 48%sys 464%idle 0%iow 3%irq 0%sirq 0%host ,800,285,,48,,
