Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3511504k used 220104k free 135004k buffers ,3731608,3511504,220104,135004,, 800%cpu 272%user 0%nice 59%sys 459%idle 0%iow 6%irq 3%sirq 0%host ,800,272,,59,,
2,5, Mem: 3731608k total 3389392k used 342216k free 135004k buffers ,3731608,3389392,342216,135004,, 800%cpu 261%user 0%nice 58%sys 476%idle 0%iow 3%irq 3%sirq 0%host ,800,261,,58,,
3,10, Mem: 3731608k total 3393560k used 338048k free 135008k buffers ,3731608,3393560,338048,135008,, 800%cpu 281%user 0%nice 50%sys 459%idle 0%iow 6%irq 3%sirq 0%host ,800,281,,50,,
4,15, Mem: 3731608k total 3389872k used 341736k free 135008k buffers ,3731608,3389872,341736,135008,, 800%cpu 297%user 0%nice 55%sys 439%idle 0%iow 6%irq 3%sirq 0%host ,800,297,,55,,
5,20, Mem: 3731608k total 3384292k used 347316k free 135008k buffers ,3731608,3384292,347316,135008,, 800%cpu 272%user 6%nice 59%sys 453%idle 0%iow 6%irq 3%sirq 0%host ,800,272,,59,,
6,25, Mem: 3731608k total 3387688k used 343920k free 135008k buffers ,3731608,3387688,343920,135008,, 800%cpu 258%user 3%nice 58%sys 476%idle 0%iow 6%irq 0%sirq 0%host ,800,258,,58,,
7,30, Mem: 3731608k total 3385392k used 346216k free 135008k buffers ,3731608,3385392,346216,135008,, 800%cpu 306%user 0%nice 63%sys 425%idle 0%iow 3%irq 3%sirq 0%host ,800,306,,63,,
8,35, Mem: 3731608k total 3388600k used 343008k free 135012k buffers ,3731608,3388600,343008,135012,, 800%cpu 290%user 0%nice 68%sys 435%idle 0%iow 6%irq 0%sirq 0%host ,800,290,,68,,
9,40, Mem: 3731608k total 3389576k used 342032k free 135016k buffers ,3731608,3389576,342032,135016,, 800%cpu 255%user 3%nice 61%sys 470%idle 0%iow 9%irq 3%sirq 0%host ,800,255,,61,,
10,45, Mem: 3731608k total 3392536k used 339072k free 135016k buffers ,3731608,3392536,339072,135016,, 800%cpu 294%user 0%nice 63%sys 438%idle 0%iow 6%irq 0%sirq 0%host ,800,294,,63,,
