Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3536204k used 195404k free 170100k buffers ,3731608,3536204,195404,170100,, 800%cpu 121%user 24%nice 41%sys 610%idle 3%iow 0%irq 0%sirq 0%host ,800,121,,41,,
2,5, Mem: 3731608k total 3535860k used 195748k free 167664k buffers ,3731608,3535860,195748,167664,, 800%cpu 274%user 3%nice 58%sys 455%idle 0%iow 6%irq 3%sirq 0%host ,800,274,,58,,
3,10, Mem: 3731608k total 3523668k used 207940k free 167664k buffers ,3731608,3523668,207940,167664,, 800%cpu 313%user 7%nice 57%sys 420%idle 0%iow 3%irq 0%sirq 0%host ,800,313,,57,,
4,15, Mem: 3731608k total 3524588k used 207020k free 167664k buffers ,3731608,3524588,207020,167664,, 800%cpu 287%user 6%nice 48%sys 448%idle 0%iow 6%irq 3%sirq 0%host ,800,287,,48,,
5,20, Mem: 3731608k total 3523348k used 208260k free 167664k buffers ,3731608,3523348,208260,167664,, 800%cpu 297%user 0%nice 61%sys 432%idle 0%iow 6%irq 3%sirq 0%host ,800,297,,61,,
6,26, Mem: 3731608k total 3523564k used 208044k free 167664k buffers ,3731608,3523564,208044,167664,, 800%cpu 313%user 0%nice 50%sys 430%idle 0%iow 7%irq 0%sirq 0%host ,800,313,,50,,
7,31, Mem: 3731608k total 3517388k used 214220k free 167664k buffers ,3731608,3517388,214220,167664,, 800%cpu 297%user 3%nice 53%sys 440%idle 0%iow 7%irq 0%sirq 0%host ,800,297,,53,,
8,36, Mem: 3731608k total 3518812k used 212796k free 167664k buffers ,3731608,3518812,212796,167664,, 800%cpu 274%user 0%nice 42%sys 481%idle 0%iow 3%irq 0%sirq 0%host ,800,274,,42,,
9,41, Mem: 3731608k total 3516812k used 214796k free 167664k buffers ,3731608,3516812,214796,167664,, 800%cpu 284%user 0%nice 55%sys 452%idle 0%iow 6%irq 3%sirq 0%host ,800,284,,55,,
10,46, Mem: 3731608k total 3517992k used 213616k free 167664k buffers ,3731608,3517992,213616,167664,, 800%cpu 255%user 0%nice 52%sys 488%idle 0%iow 3%irq 3%sirq 0%host ,800,255,,52,,
11,51, Mem: 3731608k total 3516852k used 214756k free 167664k buffers ,3731608,3516852,214756,167664,, 800%cpu 290%user 3%nice 47%sys 453%idle 0%iow 7%irq 0%sirq 0%host ,800,290,,47,,
12,56, Mem: 3731608k total 3516072k used 215536k free 167664k buffers ,3731608,3516072,215536,167664,, 800%cpu 268%user 0%nice 68%sys 455%idle 0%iow 6%irq 3%sirq 0%host ,800,268,,68,,
13,61, Mem: 3731608k total 3518384k used 213224k free 167664k buffers ,3731608,3518384,213224,167664,, 800%cpu 317%user 0%nice 57%sys 423%idle 0%iow 3%irq 0%sirq 0%host ,800,317,,57,,
14,66, Mem: 3731608k total 3515152k used 216456k free 167664k buffers ,3731608,3515152,216456,167664,, 800%cpu 327%user 3%nice 53%sys 413%idle 0%iow 3%irq 0%sirq 0%host ,800,327,,53,,
15,71, Mem: 3731608k total 3514320k used 217288k free 167664k buffers ,3731608,3514320,217288,167664,, 800%cpu 313%user 3%nice 50%sys 427%idle 0%iow 7%irq 0%sirq 0%host ,800,313,,50,,
