Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3295360k used 436248k free 121928k buffers ,3731608,3295360,436248,121928,, 800%cpu 131%user 24%nice 45%sys 597%idle 3%iow 0%irq 0%sirq 0%host ,800,131,,45,,
2,5, Mem: 3731608k total 3438248k used 293360k free 121964k buffers ,3731608,3438248,293360,121964,, 800%cpu 223%user 10%nice 65%sys 503%idle 0%iow 0%irq 0%sirq 0%host ,800,223,,65,,
3,10, Mem: 3731608k total 3426672k used 304936k free 121972k buffers ,3731608,3426672,304936,121972,, 800%cpu 297%user 3%nice 57%sys 440%idle 0%iow 3%irq 0%sirq 0%host ,800,297,,57,,
4,15, Mem: 3731608k total 3427316k used 304292k free 121980k buffers ,3731608,3427316,304292,121980,, 800%cpu 316%user 6%nice 55%sys 419%idle 0%iow 3%irq 0%sirq 0%host ,800,316,,55,,
5,20, Mem: 3731608k total 3428476k used 303132k free 121980k buffers ,3731608,3428476,303132,121980,, 800%cpu 297%user 3%nice 40%sys 457%idle 0%iow 3%irq 0%sirq 0%host ,800,297,,40,,
6,26, Mem: 3731608k total 3424808k used 306800k free 121980k buffers ,3731608,3424808,306800,121980,, 800%cpu 257%user 3%nice 60%sys 477%idle 0%iow 3%irq 0%sirq 0%host ,800,257,,60,,
7,31, Mem: 3731608k total 3423916k used 307692k free 121988k buffers ,3731608,3423916,307692,121988,, 800%cpu 273%user 0%nice 53%sys 470%idle 0%iow 3%irq 0%sirq 0%host ,800,273,,53,,
8,36, Mem: 3731608k total 3423812k used 307796k free 121988k buffers ,3731608,3423812,307796,121988,, 800%cpu 226%user 10%nice 58%sys 506%idle 0%iow 0%irq 0%sirq 0%host ,800,226,,58,,
9,41, Mem: 3731608k total 3423564k used 308044k free 121988k buffers ,3731608,3423564,308044,121988,, 800%cpu 323%user 3%nice 50%sys 420%idle 0%iow 3%irq 0%sirq 0%host ,800,323,,50,,
10,46, Mem: 3731608k total 3422376k used 309232k free 121988k buffers ,3731608,3422376,309232,121988,, 800%cpu 223%user 0%nice 60%sys 510%idle 0%iow 3%irq 3%sirq 0%host ,800,223,,60,,
11,51, Mem: 3731608k total 3420332k used 311276k free 121988k buffers ,3731608,3420332,311276,121988,, 800%cpu 256%user 3%nice 56%sys 481%idle 0%iow 3%irq 0%sirq 0%host ,800,256,,56,,
12,56, Mem: 3731608k total 3421200k used 310408k free 122004k buffers ,3731608,3421200,310408,122004,, 800%cpu 287%user 3%nice 47%sys 457%idle 0%iow 7%irq 0%sirq 0%host ,800,287,,47,,
13,61, Mem: 3731608k total 3424828k used 306780k free 122012k buffers ,3731608,3424828,306780,122012,, 800%cpu 270%user 3%nice 50%sys 467%idle 0%iow 7%irq 3%sirq 0%host ,800,270,,50,,
14,66, Mem: 3731608k total 3424392k used 307216k free 122012k buffers ,3731608,3424392,307216,122012,, 800%cpu 242%user 3%nice 48%sys 500%idle 0%iow 6%irq 0%sirq 0%host ,800,242,,48,,
15,72, Mem: 3731608k total 3423888k used 307720k free 122036k buffers ,3731608,3423888,307720,122036,, 800%cpu 260%user 3%nice 57%sys 477%idle 0%iow 3%irq 0%sirq 0%host ,800,260,,57,,
16,77, Mem: 3731608k total 3420472k used 311136k free 122044k buffers ,3731608,3420472,311136,122044,, 800%cpu 290%user 0%nice 57%sys 447%idle 0%iow 3%irq 3%sirq 0%host ,800,290,,57,,
17,82, Mem: 3731608k total 3420888k used 310720k free 122044k buffers ,3731608,3420888,310720,122044,, 800%cpu 320%user 3%nice 53%sys 413%idle 0%iow 7%irq 3%sirq 0%host ,800,320,,53,,
18,87, Mem: 3731608k total 3426528k used 305080k free 122080k buffers ,3731608,3426528,305080,122080,, 800%cpu 297%user 3%nice 55%sys 432%idle 0%iow 10%irq 3%sirq 0%host ,800,297,,55,,
19,92, Mem: 3731608k total 3425384k used 306224k free 122080k buffers ,3731608,3425384,306224,122080,, 800%cpu 248%user 0%nice 42%sys 500%idle 0%iow 6%irq 3%sirq 0%host ,800,248,,42,,
20,97, Mem: 3731608k total 3422296k used 309312k free 122084k buffers ,3731608,3422296,309312,122084,, 800%cpu 281%user 3%nice 48%sys 461%idle 0%iow 6%irq 0%sirq 0%host ,800,281,,48,,
21,102, Mem: 3731608k total 3425240k used 306368k free 122084k buffers ,3731608,3425240,306368,122084,, 800%cpu 290%user 0%nice 52%sys 452%idle 0%iow 6%irq 0%sirq 0%host ,800,290,,52,,
22,107, Mem: 3731608k total 3421952k used 309656k free 122084k buffers ,3731608,3421952,309656,122084,, 800%cpu 313%user 0%nice 47%sys 437%idle 0%iow 3%irq 0%sirq 0%host ,800,313,,47,,
23,112, Mem: 3731608k total 3422964k used 308644k free 122088k buffers ,3731608,3422964,308644,122088,, 800%cpu 223%user 7%nice 57%sys 507%idle 0%iow 7%irq 0%sirq 0%host ,800,223,,57,,
24,117, Mem: 3731608k total 3424628k used 306980k free 122096k buffers ,3731608,3424628,306980,122096,, 800%cpu 250%user 0%nice 69%sys 478%idle 0%iow 3%irq 0%sirq 0%host ,800,250,,69,,
25,122, Mem: 3731608k total 3425576k used 306032k free 122104k buffers ,3731608,3425576,306032,122104,, 800%cpu 277%user 0%nice 52%sys 461%idle 0%iow 6%irq 3%sirq 0%host ,800,277,,52,,
