Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3260720k used 470888k free 137028k buffers ,3731608,3260720,470888,137028,, 800%cpu 173%user 170%nice 79%sys 361%idle 6%iow 9%irq 3%sirq 0%host ,800,173,,79,,
2,5, Mem: 3731608k total 3514424k used 217184k free 137044k buffers ,3731608,3514424,217184,137044,, 800%cpu 58%user 12%nice 55%sys 661%idle 0%iow 6%irq 9%sirq 0%host ,800,58,,55,,
3,10, Mem: 3731608k total 3433724k used 297884k free 137052k buffers ,3731608,3433724,297884,137052,, 800%cpu 66%user 0%nice 59%sys 666%idle 0%iow 9%irq 0%sirq 0%host ,800,66,,59,,
4,15, Mem: 3731608k total 3434376k used 297232k free 137052k buffers ,3731608,3434376,297232,137052,, 800%cpu 63%user 0%nice 56%sys 672%idle 3%iow 6%irq 0%sirq 0%host ,800,63,,56,,
5,20, Mem: 3731608k total 3424196k used 307412k free 137052k buffers ,3731608,3424196,307412,137052,, 800%cpu 63%user 0%nice 53%sys 675%idle 0%iow 6%irq 3%sirq 0%host ,800,63,,53,,
6,25, Mem: 3731608k total 3424652k used 306956k free 137052k buffers ,3731608,3424652,306956,137052,, 800%cpu 69%user 0%nice 59%sys 666%idle 0%iow 6%irq 0%sirq 0%host ,800,69,,59,,
7,30, Mem: 3731608k total 3424668k used 306940k free 137056k buffers ,3731608,3424668,306940,137056,, 800%cpu 56%user 0%nice 59%sys 681%idle 0%iow 3%irq 0%sirq 0%host ,800,56,,59,,
8,35, Mem: 3731608k total 3423380k used 308228k free 137060k buffers ,3731608,3423380,308228,137060,, 800%cpu 56%user 0%nice 66%sys 672%idle 0%iow 3%irq 3%sirq 0%host ,800,56,,66,,
9,40, Mem: 3731608k total 3423428k used 308180k free 137060k buffers ,3731608,3423428,308180,137060,, 800%cpu 53%user 0%nice 66%sys 675%idle 0%iow 6%irq 0%sirq 0%host ,800,53,,66,,
10,45, Mem: 3731608k total 3424204k used 307404k free 137060k buffers ,3731608,3424204,307404,137060,, 800%cpu 53%user 0%nice 63%sys 675%idle 0%iow 3%irq 6%sirq 0%host ,800,53,,63,,
