Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3459068k used 272540k free 130168k buffers ,3731608,3459068,272540,130168,, 800%cpu 262%user 0%nice 38%sys 494%idle 0%iow 3%irq 3%sirq 0%host ,800,262,,38,,
2,5, Mem: 3731608k total 3467592k used 264016k free 130168k buffers ,3731608,3467592,264016,130168,, 800%cpu 303%user 0%nice 53%sys 434%idle 0%iow 6%irq 3%sirq 0%host ,800,303,,53,,
3,10, Mem: 3731608k total 3463780k used 267828k free 130168k buffers ,3731608,3463780,267828,130168,, 800%cpu 284%user 0%nice 55%sys 448%idle 0%iow 6%irq 6%sirq 0%host ,800,284,,55,,
4,15, Mem: 3731608k total 3455812k used 275796k free 130168k buffers ,3731608,3455812,275796,130168,, 800%cpu 291%user 0%nice 50%sys 450%idle 0%iow 6%irq 3%sirq 0%host ,800,291,,50,,
5,20, Mem: 3731608k total 3453708k used 277900k free 130168k buffers ,3731608,3453708,277900,130168,, 800%cpu 256%user 16%nice 66%sys 450%idle 0%iow 9%irq 3%sirq 0%host ,800,256,,66,,
6,25, Mem: 3731608k total 3458048k used 273560k free 130168k buffers ,3731608,3458048,273560,130168,, 800%cpu 313%user 0%nice 63%sys 413%idle 0%iow 6%irq 6%sirq 0%host ,800,313,,63,,
7,30, Mem: 3731608k total 3466280k used 265328k free 130168k buffers ,3731608,3466280,265328,130168,, 800%cpu 303%user 0%nice 38%sys 450%idle 0%iow 6%irq 3%sirq 0%host ,800,303,,38,,
8,35, Mem: 3731608k total 3460328k used 271280k free 130172k buffers ,3731608,3460328,271280,130172,, 800%cpu 334%user 0%nice 50%sys 406%idle 0%iow 9%irq 0%sirq 0%host ,800,334,,50,,
9,40, Mem: 3731608k total 3469300k used 262308k free 130172k buffers ,3731608,3469300,262308,130172,, 800%cpu 287%user 0%nice 65%sys 445%idle 0%iow 3%irq 0%sirq 0%host ,800,287,,65,,
10,45, Mem: 3731608k total 3463008k used 268600k free 130172k buffers ,3731608,3463008,268600,130172,, 800%cpu 250%user 0%nice 53%sys 488%idle 0%iow 6%irq 3%sirq 0%host ,800,250,,53,,
11,50, Mem: 3731608k total 3451788k used 279820k free 130188k buffers ,3731608,3451788,279820,130188,, 800%cpu 258%user 13%nice 65%sys 452%idle 3%iow 6%irq 3%sirq 0%host ,800,258,,65,,
12,55, Mem: 3731608k total 3458112k used 273496k free 130188k buffers ,3731608,3458112,273496,130188,, 800%cpu 300%user 0%nice 66%sys 425%idle 0%iow 6%irq 3%sirq 0%host ,800,300,,66,,
13,60, Mem: 3731608k total 3452048k used 279560k free 130196k buffers ,3731608,3452048,279560,130196,, 800%cpu 306%user 13%nice 55%sys 419%idle 0%iow 6%irq 0%sirq 0%host ,800,306,,55,,
14,65, Mem: 3731608k total 3459732k used 271876k free 130204k buffers ,3731608,3459732,271876,130204,, 800%cpu 263%user 0%nice 53%sys 475%idle 0%iow 6%irq 3%sirq 0%host ,800,263,,53,,
15,70, Mem: 3731608k total 3454308k used 277300k free 130204k buffers ,3731608,3454308,277300,130204,, 800%cpu 284%user 0%nice 69%sys 438%idle 0%iow 6%irq 3%sirq 0%host ,800,284,,69,,
16,75, Mem: 3731608k total 3463780k used 267828k free 130208k buffers ,3731608,3463780,267828,130208,, 800%cpu 284%user 19%nice 66%sys 419%idle 6%iow 6%irq 0%sirq 0%host ,800,284,,66,,
17,80, Mem: 3731608k total 3471604k used 260004k free 130208k buffers ,3731608,3471604,260004,130208,, 800%cpu 341%user 6%nice 47%sys 400%idle 0%iow 6%irq 0%sirq 0%host ,800,341,,47,,
18,85, Mem: 3731608k total 3466936k used 264672k free 130208k buffers ,3731608,3466936,264672,130208,, 800%cpu 291%user 0%nice 78%sys 422%idle 0%iow 9%irq 0%sirq 0%host ,800,291,,78,,
19,90, Mem: 3731608k total 3456568k used 275040k free 130208k buffers ,3731608,3456568,275040,130208,, 800%cpu 294%user 16%nice 53%sys 431%idle 0%iow 6%irq 0%sirq 0%host ,800,294,,53,,
20,95, Mem: 3731608k total 3469056k used 262552k free 130208k buffers ,3731608,3469056,262552,130208,, 800%cpu 313%user 3%nice 47%sys 431%idle 0%iow 3%irq 3%sirq 0%host ,800,313,,47,,
21,100, Mem: 3731608k total 3458360k used 273248k free 130208k buffers ,3731608,3458360,273248,130208,, 800%cpu 294%user 0%nice 50%sys 444%idle 0%iow 9%irq 3%sirq 0%host ,800,294,,50,,
22,105, Mem: 3731608k total 3463788k used 267820k free 130208k buffers ,3731608,3463788,267820,130208,, 800%cpu 294%user 0%nice 55%sys 448%idle 0%iow 3%irq 0%sirq 0%host ,800,294,,55,,
23,110, Mem: 3731608k total 3458296k used 273312k free 130208k buffers ,3731608,3458296,273312,130208,, 800%cpu 290%user 0%nice 61%sys 439%idle 0%iow 6%irq 3%sirq 0%host ,800,290,,61,,
24,115, Mem: 3731608k total 3463688k used 267920k free 130208k buffers ,3731608,3463688,267920,130208,, 800%cpu 336%user 0%nice 58%sys 400%idle 0%iow 6%irq 0%sirq 0%host ,800,336,,58,,
25,120, Mem: 3731608k total 3471020k used 260588k free 130208k buffers ,3731608,3471020,260588,130208,, 800%cpu 241%user 0%nice 47%sys 503%idle 0%iow 6%irq 3%sirq 0%host ,800,241,,47,,
26,125, Mem: 3731608k total 3457256k used 274352k free 130208k buffers ,3731608,3457256,274352,130208,, 800%cpu 294%user 0%nice 55%sys 445%idle 0%iow 6%irq 0%sirq 0%host ,800,294,,55,,
27,130, Mem: 3731608k total 3463948k used 267660k free 130208k buffers ,3731608,3463948,267660,130208,, 800%cpu 334%user 0%nice 53%sys 403%idle 0%iow 6%irq 3%sirq 0%host ,800,334,,53,,
28,135, Mem: 3731608k total 3458272k used 273336k free 130212k buffers ,3731608,3458272,273336,130212,, 800%cpu 241%user 0%nice 44%sys 513%idle 0%iow 3%irq 0%sirq 0%host ,800,241,,44,,
29,140, Mem: 3731608k total 3465924k used 265684k free 130212k buffers ,3731608,3465924,265684,130212,, 800%cpu 269%user 0%nice 59%sys 469%idle 0%iow 3%irq 0%sirq 0%host ,800,269,,59,,
30,145, Mem: 3731608k total 3474636k used 256972k free 130212k buffers ,3731608,3474636,256972,130212,, 800%cpu 303%user 0%nice 56%sys 434%idle 0%iow 3%irq 3%sirq 0%host ,800,303,,56,,
31,150, Mem: 3731608k total 3468824k used 262784k free 130212k buffers ,3731608,3468824,262784,130212,, 800%cpu 238%user 0%nice 59%sys 494%idle 0%iow 6%irq 3%sirq 0%host ,800,238,,59,,
32,155, Mem: 3731608k total 3458932k used 272676k free 130212k buffers ,3731608,3458932,272676,130212,, 800%cpu 306%user 13%nice 61%sys 416%idle 0%iow 3%irq 0%sirq 0%host ,800,306,,61,,
33,160, Mem: 3731608k total 3470548k used 261060k free 130212k buffers ,3731608,3470548,261060,130212,, 800%cpu 263%user 3%nice 63%sys 466%idle 0%iow 6%irq 0%sirq 0%host ,800,263,,63,,
34,165, Mem: 3731608k total 3458924k used 272684k free 130212k buffers ,3731608,3458924,272684,130212,, 800%cpu 241%user 0%nice 53%sys 497%idle 0%iow 6%irq 3%sirq 0%host ,800,241,,53,,
