Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3265980k used 465628k free 139256k buffers ,3731608,3265980,465628,139256,, 800%cpu 200%user 150%nice 75%sys 359%idle 6%iow 6%irq 3%sirq 0%host ,800,200,,75,,
2,6, Mem: 3731608k total 3465236k used 266372k free 139264k buffers ,3731608,3465236,266372,139264,, 800%cpu 53%user 3%nice 59%sys 678%idle 0%iow 6%irq 0%sirq 0%host ,800,53,,59,,
3,11, Mem: 3731608k total 3461204k used 270404k free 139276k buffers ,3731608,3461204,270404,139276,, 800%cpu 63%user 0%nice 63%sys 666%idle 0%iow 6%irq 3%sirq 0%host ,800,63,,63,,
4,16, Mem: 3731608k total 3459872k used 271736k free 139276k buffers ,3731608,3459872,271736,139276,, 800%cpu 50%user 0%nice 69%sys 669%idle 0%iow 9%irq 3%sirq 0%host ,800,50,,69,,
5,21, Mem: 3731608k total 3442032k used 289576k free 139276k buffers ,3731608,3442032,289576,139276,, 800%cpu 59%user 0%nice 53%sys 681%idle 0%iow 0%irq 6%sirq 0%host ,800,59,,53,,
6,26, Mem: 3731608k total 3442436k used 289172k free 139276k buffers ,3731608,3442436,289172,139276,, 800%cpu 59%user 0%nice 53%sys 681%idle 0%iow 3%irq 3%sirq 0%host ,800,59,,53,,
7,31, Mem: 3731608k total 3439800k used 291808k free 139276k buffers ,3731608,3439800,291808,139276,, 800%cpu 45%user 0%nice 61%sys 685%idle 0%iow 9%irq 0%sirq 0%host ,800,45,,61,,
8,36, Mem: 3731608k total 3439052k used 292556k free 139276k buffers ,3731608,3439052,292556,139276,, 800%cpu 50%user 0%nice 50%sys 691%idle 0%iow 9%irq 0%sirq 0%host ,800,50,,50,,
9,41, Mem: 3731608k total 3437564k used 294044k free 139276k buffers ,3731608,3437564,294044,139276,, 800%cpu 53%user 0%nice 53%sys 688%idle 0%iow 6%irq 0%sirq 0%host ,800,53,,53,,
10,46, Mem: 3731608k total 3437580k used 294028k free 139276k buffers ,3731608,3437580,294028,139276,, 800%cpu 47%user 3%nice 56%sys 688%idle 0%iow 3%irq 3%sirq 0%host ,800,47,,56,,
