Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3408560k used 323048k free 124588k buffers ,3731608,3408560,323048,124588,, 800%cpu 194%user 231%nice 116%sys 238%idle 9%iow 9%irq 3%sirq 0%host ,800,194,,116,,
2,5, Mem: 3731608k total 3560120k used 171488k free 123240k buffers ,3731608,3560120,171488,123240,, 800%cpu 53%user 34%nice 72%sys 634%idle 3%iow 3%irq 0%sirq 0%host ,800,53,,72,,
3,10, Mem: 3731608k total 3556536k used 175072k free 123256k buffers ,3731608,3556536,175072,123256,, 800%cpu 53%user 0%nice 63%sys 675%idle 0%iow 6%irq 3%sirq 0%host ,800,53,,63,,
4,15, Mem: 3731608k total 3556840k used 174768k free 123264k buffers ,3731608,3556840,174768,123264,, 800%cpu 63%user 0%nice 66%sys 669%idle 0%iow 3%irq 0%sirq 0%host ,800,63,,66,,
5,20, Mem: 3731608k total 3555476k used 176132k free 123264k buffers ,3731608,3555476,176132,123264,, 800%cpu 50%user 0%nice 63%sys 678%idle 0%iow 6%irq 3%sirq 0%host ,800,50,,63,,
6,25, Mem: 3731608k total 3554456k used 177152k free 123268k buffers ,3731608,3554456,177152,123268,, 800%cpu 38%user 0%nice 66%sys 691%idle 0%iow 3%irq 3%sirq 0%host ,800,38,,66,,
7,30, Mem: 3731608k total 3555384k used 176224k free 123268k buffers ,3731608,3555384,176224,123268,, 800%cpu 50%user 0%nice 63%sys 678%idle 0%iow 6%irq 3%sirq 0%host ,800,50,,63,,
8,35, Mem: 3731608k total 3553320k used 178288k free 123268k buffers ,3731608,3553320,178288,123268,, 800%cpu 56%user 0%nice 59%sys 675%idle 0%iow 6%irq 3%sirq 0%host ,800,56,,59,,
9,40, Mem: 3731608k total 3551964k used 179644k free 123272k buffers ,3731608,3551964,179644,123272,, 800%cpu 53%user 0%nice 69%sys 656%idle 0%iow 16%irq 6%sirq 0%host ,800,53,,69,,
10,45, Mem: 3731608k total 3552196k used 179412k free 123272k buffers ,3731608,3552196,179412,123272,, 800%cpu 39%user 0%nice 70%sys 676%idle 0%iow 12%irq 3%sirq 0%host ,800,39,,70,,
11,50, Mem: 3731608k total 3552064k used 179544k free 123272k buffers ,3731608,3552064,179544,123272,, 800%cpu 50%user 0%nice 53%sys 675%idle 0%iow 16%irq 6%sirq 0%host ,800,50,,53,,
12,55, Mem: 3731608k total 3553096k used 178512k free 123276k buffers ,3731608,3553096,178512,123276,, 800%cpu 44%user 6%nice 66%sys 675%idle 0%iow 6%irq 3%sirq 0%host ,800,44,,66,,
13,60, Mem: 3731608k total 3553000k used 178608k free 123284k buffers ,3731608,3553000,178608,123284,, 800%cpu 59%user 3%nice 75%sys 656%idle 0%iow 3%irq 3%sirq 0%host ,800,59,,75,,
14,65, Mem: 3731608k total 3537100k used 194508k free 123292k buffers ,3731608,3537100,194508,123292,, 800%cpu 67%user 0%nice 64%sys 661%idle 0%iow 6%irq 3%sirq 0%host ,800,67,,64,,
15,70, Mem: 3731608k total 3536868k used 194740k free 123292k buffers ,3731608,3536868,194740,123292,, 800%cpu 44%user 0%nice 71%sys 676%idle 0%iow 6%irq 3%sirq 0%host ,800,44,,71,,
