Num,Time (sec),Raw Mem,Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),Raw CPU,CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
1,0, Mem: 3731608k total 3627332k used 104276k free 136392k buffers ,3731608,3627332,104276,136392,, 800%cpu 275%user 0%nice 47%sys 472%idle 0%iow 3%irq 3%sirq 0%host ,800,275,,47,,
2,5, Mem: 3731608k total 3500964k used 230644k free 136396k buffers ,3731608,3500964,230644,136396,, 800%cpu 267%user 0%nice 55%sys 473%idle 0%iow 3%irq 3%sirq 0%host ,800,267,,55,,
3,10, Mem: 3731608k total 3491932k used 239676k free 136400k buffers ,3731608,3491932,239676,136400,, 800%cpu 294%user 0%nice 52%sys 445%idle 3%iow 6%irq 0%sirq 0%host ,800,294,,52,,
4,15, Mem: 3731608k total 3500112k used 231496k free 136400k buffers ,3731608,3500112,231496,136400,, 800%cpu 355%user 3%nice 71%sys 365%idle 0%iow 3%irq 3%sirq 0%host ,800,355,,71,,
5,20, Mem: 3731608k total 3497744k used 233864k free 136400k buffers ,3731608,3497744,233864,136400,, 800%cpu 309%user 3%nice 59%sys 425%idle 0%iow 3%irq 0%sirq 0%host ,800,309,,59,,
6,25, Mem: 3731608k total 3505572k used 226036k free 136412k buffers ,3731608,3505572,226036,136412,, 800%cpu 321%user 0%nice 61%sys 409%idle 0%iow 6%irq 3%sirq 0%host ,800,321,,61,,
7,30, Mem: 3731608k total 3503612k used 227996k free 136416k buffers ,3731608,3503612,227996,136416,, 800%cpu 284%user 0%nice 50%sys 459%idle 0%iow 3%irq 3%sirq 0%host ,800,284,,50,,
8,35, Mem: 3731608k total 3495624k used 235984k free 136416k buffers ,3731608,3495624,235984,136416,, 800%cpu 313%user 0%nice 66%sys 413%idle 0%iow 6%irq 3%sirq 0%host ,800,313,,66,,
9,40, Mem: 3731608k total 3501900k used 229708k free 136416k buffers ,3731608,3501900,229708,136416,, 800%cpu 300%user 0%nice 69%sys 422%idle 0%iow 6%irq 3%sirq 0%host ,800,300,,69,,
10,45, Mem: 3731608k total 3502128k used 229480k free 136416k buffers ,3731608,3502128,229480,136416,, 800%cpu 234%user 0%nice 53%sys 506%idle 0%iow 6%irq 0%sirq 0%host ,800,234,,53,,
11,50, Mem: 3731608k total 3495464k used 236144k free 136416k buffers ,3731608,3495464,236144,136416,, 800%cpu 313%user 0%nice 59%sys 419%idle 0%iow 9%irq 0%sirq 0%host ,800,313,,59,,
12,55, Mem: 3731608k total 3490276k used 241332k free 136416k buffers ,3731608,3490276,241332,136416,, 800%cpu 247%user 13%nice 59%sys 475%idle 0%iow 6%irq 0%sirq 0%host ,800,247,,59,,
13,60, Mem: 3731608k total 3625428k used 106180k free 136320k buffers ,3731608,3625428,106180,136320,, 800%cpu 297%user 0%nice 63%sys 428%idle 0%iow 9%irq 3%sirq 0%host ,800,297,,63,,
14,65, Mem: 3731608k total 3490116k used 241492k free 136320k buffers ,3731608,3490116,241492,136320,, 800%cpu 288%user 0%nice 59%sys 444%idle 0%iow 6%irq 3%sirq 0%host ,800,288,,59,,
15,70, Mem: 3731608k total 3488444k used 243164k free 136324k buffers ,3731608,3488444,243164,136324,, 800%cpu 322%user 0%nice 63%sys 409%idle 0%iow 6%irq 0%sirq 0%host ,800,322,,63,,
16,75, Mem: 3731608k total 3497028k used 234580k free 136328k buffers ,3731608,3497028,234580,136328,, 800%cpu 294%user 0%nice 53%sys 444%idle 0%iow 9%irq 0%sirq 0%host ,800,294,,53,,
17,80, Mem: 3731608k total 3493888k used 237720k free 136328k buffers ,3731608,3493888,237720,136328,, 800%cpu 331%user 0%nice 66%sys 394%idle 0%iow 6%irq 3%sirq 0%host ,800,331,,66,,
18,85, Mem: 3731608k total 3486544k used 245064k free 136328k buffers ,3731608,3486544,245064,136328,, 800%cpu 306%user 9%nice 63%sys 413%idle 0%iow 6%irq 3%sirq 0%host ,800,306,,63,,
19,90, Mem: 3731608k total 3494000k used 237608k free 136328k buffers ,3731608,3494000,237608,136328,, 800%cpu 309%user 3%nice 53%sys 425%idle 0%iow 9%irq 0%sirq 0%host ,800,309,,53,,
20,95, Mem: 3731608k total 3491780k used 239828k free 136328k buffers ,3731608,3491780,239828,136328,, 800%cpu 339%user 0%nice 52%sys 397%idle 0%iow 10%irq 3%sirq 0%host ,800,339,,52,,
21,100, Mem: 3731608k total 3501412k used 230196k free 136328k buffers ,3731608,3501412,230196,136328,, 800%cpu 313%user 0%nice 74%sys 400%idle 0%iow 10%irq 3%sirq 0%host ,800,313,,74,,
22,106, Mem: 3731608k total 3495228k used 236380k free 136332k buffers ,3731608,3495228,236380,136332,, 800%cpu 297%user 0%nice 59%sys 441%idle 0%iow 3%irq 0%sirq 0%host ,800,297,,59,,
23,111, Mem: 3731608k total 3490604k used 241004k free 136340k buffers ,3731608,3490604,241004,136340,, 800%cpu 316%user 0%nice 63%sys 413%idle 0%iow 6%irq 3%sirq 0%host ,800,316,,63,,
24,116, Mem: 3731608k total 3482088k used 249520k free 136348k buffers ,3731608,3482088,249520,136348,, 800%cpu 150%user 25%nice 84%sys 528%idle 3%iow 6%irq 3%sirq 0%host ,800,150,,84,,
25,121, Mem: 3731608k total 3483080k used 248528k free 136348k buffers ,3731608,3483080,248528,136348,, 800%cpu 264%user 0%nice 64%sys 470%idle 0%iow 3%irq 0%sirq 0%host ,800,264,,64,,
26,126, Mem: 3731608k total 3495864k used 235744k free 136348k buffers ,3731608,3495864,235744,136348,, 800%cpu 297%user 3%nice 53%sys 441%idle 0%iow 3%irq 3%sirq 0%host ,800,297,,53,,
27,131, Mem: 3731608k total 3487620k used 243988k free 136352k buffers ,3731608,3487620,243988,136352,, 800%cpu 266%user 13%nice 56%sys 459%idle 0%iow 6%irq 0%sirq 0%host ,800,266,,56,,
28,136, Mem: 3731608k total 3499592k used 232016k free 136360k buffers ,3731608,3499592,232016,136360,, 800%cpu 291%user 0%nice 63%sys 438%idle 0%iow 6%irq 3%sirq 0%host ,800,291,,63,,
29,141, Mem: 3731608k total 3491316k used 240292k free 136360k buffers ,3731608,3491316,240292,136360,, 800%cpu 352%user 0%nice 65%sys 374%idle 0%iow 6%irq 3%sirq 0%host ,800,352,,65,,
30,146, Mem: 3731608k total 3503468k used 228140k free 136360k buffers ,3731608,3503468,228140,136360,, 800%cpu 288%user 6%nice 69%sys 428%idle 0%iow 9%irq 0%sirq 0%host ,800,288,,69,,
31,151, Mem: 3731608k total 3491448k used 240160k free 136360k buffers ,3731608,3491448,240160,136360,, 800%cpu 306%user 0%nice 59%sys 428%idle 0%iow 6%irq 0%sirq 0%host ,800,306,,59,,
32,156, Mem: 3731608k total 3498836k used 232772k free 136360k buffers ,3731608,3498836,232772,136360,, 800%cpu 256%user 0%nice 53%sys 484%idle 0%iow 6%irq 0%sirq 0%host ,800,256,,53,,
33,161, Mem: 3731608k total 3492664k used 238944k free 136360k buffers ,3731608,3492664,238944,136360,, 800%cpu 288%user 0%nice 55%sys 448%idle 0%iow 6%irq 3%sirq 0%host ,800,288,,55,,
34,166, Mem: 3731608k total 3500996k used 230612k free 136360k buffers ,3731608,3500996,230612,136360,, 800%cpu 256%user 3%nice 53%sys 478%idle 0%iow 6%irq 3%sirq 0%host ,800,256,,53,,
35,171, Mem: 3731608k total 3494172k used 237436k free 136364k buffers ,3731608,3494172,237436,136364,, 800%cpu 342%user 0%nice 61%sys 390%idle 0%iow 3%irq 3%sirq 0%host ,800,342,,61,,
36,176, Mem: 3731608k total 3508920k used 222688k free 136364k buffers ,3731608,3508920,222688,136364,, 800%cpu 103%user 13%nice 41%sys 631%idle 3%iow 6%irq 3%sirq 0%host ,800,103,,41,,
37,181, Mem: 3731608k total 3553272k used 178336k free 136364k buffers ,3731608,3553272,178336,136364,, 800%cpu 281%user 16%nice 66%sys 425%idle 0%iow 9%irq 3%sirq 0%host ,800,281,,66,,
38,186, Mem: 3731608k total 3502652k used 228956k free 136364k buffers ,3731608,3502652,228956,136364,, 800%cpu 313%user 3%nice 65%sys 413%idle 0%iow 6%irq 0%sirq 0%host ,800,313,,65,,
39,191, Mem: 3731608k total 3496404k used 235204k free 136364k buffers ,3731608,3496404,235204,136364,, 800%cpu 258%user 0%nice 64%sys 476%idle 0%iow 3%irq 0%sirq 0%host ,800,258,,64,,
40,197, Mem: 3731608k total 3506708k used 224900k free 136364k buffers ,3731608,3506708,224900,136364,, 800%cpu 245%user 0%nice 64%sys 485%idle 0%iow 6%irq 0%sirq 0%host ,800,245,,64,,
41,202, Mem: 3731608k total 3500768k used 230840k free 136364k buffers ,3731608,3500768,230840,136364,, 800%cpu 323%user 0%nice 45%sys 426%idle 0%iow 3%irq 3%sirq 0%host ,800,323,,45,,
42,207, Mem: 3731608k total 3492396k used 239212k free 136364k buffers ,3731608,3492396,239212,136364,, 800%cpu 316%user 22%nice 66%sys 388%idle 0%iow 6%irq 3%sirq 0%host ,800,316,,66,,
43,212, Mem: 3731608k total 3503876k used 227732k free 136364k buffers ,3731608,3503876,227732,136364,, 800%cpu 300%user 3%nice 63%sys 422%idle 3%iow 6%irq 3%sirq 0%host ,800,300,,63,,
44,217, Mem: 3731608k total 3493052k used 238556k free 136364k buffers ,3731608,3493052,238556,136364,, 800%cpu 327%user 0%nice 45%sys 418%idle 0%iow 6%irq 3%sirq 0%host ,800,327,,45,,
45,223, Mem: 3731608k total 3496568k used 235040k free 136368k buffers ,3731608,3496568,235040,136368,, 800%cpu 288%user 0%nice 63%sys 447%idle 0%iow 3%irq 0%sirq 0%host ,800,288,,63,,
46,228, Mem: 3731608k total 3491960k used 239648k free 136372k buffers ,3731608,3491960,239648,136372,, 800%cpu 263%user 0%nice 56%sys 478%idle 0%iow 3%irq 0%sirq 0%host ,800,263,,56,,
47,233, Mem: 3731608k total 3498552k used 233056k free 136372k buffers ,3731608,3498552,233056,136372,, 800%cpu 319%user 0%nice 59%sys 416%idle 0%iow 6%irq 0%sirq 0%host ,800,319,,59,,
48,238, Mem: 3731608k total 3612956k used 118652k free 136384k buffers ,3731608,3612956,118652,136384,, 800%cpu 263%user 0%nice 53%sys 481%idle 0%iow 3%irq 0%sirq 0%host ,800,263,,53,,
49,243, Mem: 3731608k total 3499200k used 232408k free 136384k buffers ,3731608,3499200,232408,136384,, 800%cpu 309%user 0%nice 78%sys 406%idle 0%iow 6%irq 0%sirq 0%host ,800,309,,78,,
50,248, Mem: 3731608k total 3490508k used 241100k free 136384k buffers ,3731608,3490508,241100,136384,, 800%cpu 267%user 0%nice 58%sys 470%idle 0%iow 3%irq 3%sirq 0%host ,800,267,,58,,
51,253, Mem: 3731608k total 3502656k used 228952k free 136384k buffers ,3731608,3502656,228952,136384,, 800%cpu 322%user 0%nice 63%sys 403%idle 0%iow 9%irq 3%sirq 0%host ,800,322,,63,,
52,258, Mem: 3731608k total 3490340k used 241268k free 136384k buffers ,3731608,3490340,241268,136384,, 800%cpu 322%user 3%nice 59%sys 409%idle 0%iow 6%irq 0%sirq 0%host ,800,322,,59,,
53,263, Mem: 3731608k total 3488844k used 242764k free 136384k buffers ,3731608,3488844,242764,136384,, 800%cpu 306%user 13%nice 75%sys 397%idle 0%iow 6%irq 3%sirq 0%host ,800,306,,75,,
54,268, Mem: 3731608k total 3494280k used 237328k free 136384k buffers ,3731608,3494280,237328,136384,, 800%cpu 236%user 3%nice 61%sys 494%idle 0%iow 3%irq 3%sirq 0%host ,800,236,,61,,
55,273, Mem: 3731608k total 3501800k used 229808k free 136384k buffers ,3731608,3501800,229808,136384,, 800%cpu 261%user 0%nice 61%sys 473%idle 0%iow 3%irq 3%sirq 0%host ,800,261,,61,,
56,278, Mem: 3731608k total 3495776k used 235832k free 136388k buffers ,3731608,3495776,235832,136388,, 800%cpu 315%user 0%nice 48%sys 427%idle 0%iow 9%irq 0%sirq 0%host ,800,315,,48,,
57,283, Mem: 3731608k total 3504684k used 226924k free 136388k buffers ,3731608,3504684,226924,136388,, 800%cpu 303%user 3%nice 59%sys 425%idle 0%iow 6%irq 3%sirq 0%host ,800,303,,59,,
58,289, Mem: 3731608k total 3497772k used 233836k free 136388k buffers ,3731608,3497772,233836,136388,, 800%cpu 334%user 0%nice 66%sys 397%idle 0%iow 3%irq 0%sirq 0%host ,800,334,,66,,
59,294, Mem: 3731608k total 3493592k used 238016k free 136392k buffers ,3731608,3493592,238016,136392,, 800%cpu 303%user 0%nice 63%sys 425%idle 0%iow 6%irq 3%sirq 0%host ,800,303,,63,,
60,299, Mem: 3731608k total 3618628k used 112980k free 136392k buffers ,3731608,3618628,112980,136392,, 800%cpu 336%user 0%nice 58%sys 397%idle 0%iow 6%irq 3%sirq 0%host ,800,336,,58,,
61,304, Mem: 3731608k total 3490648k used 240960k free 136392k buffers ,3731608,3490648,240960,136392,, 800%cpu 310%user 0%nice 61%sys 416%idle 0%iow 10%irq 3%sirq 0%host ,800,310,,61,,
62,309, Mem: 3731608k total 3496608k used 235000k free 136396k buffers ,3731608,3496608,235000,136396,, 800%cpu 347%user 0%nice 56%sys 384%idle 0%iow 9%irq 3%sirq 0%host ,800,347,,56,,
63,314, Mem: 3731608k total 3487404k used 244204k free 136396k buffers ,3731608,3487404,244204,136396,, 800%cpu 322%user 13%nice 69%sys 391%idle 0%iow 3%irq 3%sirq 0%host ,800,322,,69,,
64,319, Mem: 3731608k total 3501092k used 230516k free 136396k buffers ,3731608,3501092,230516,136396,, 800%cpu 255%user 0%nice 55%sys 482%idle 0%iow 6%irq 3%sirq 0%host ,800,255,,55,,
65,324, Mem: 3731608k total 3490972k used 240636k free 136396k buffers ,3731608,3490972,240636,136396,, 800%cpu 285%user 0%nice 45%sys 461%idle 0%iow 6%irq 3%sirq 0%host ,800,285,,45,,
66,329, Mem: 3731608k total 3502188k used 229420k free 136396k buffers ,3731608,3502188,229420,136396,, 800%cpu 244%user 0%nice 44%sys 503%idle 0%iow 6%irq 3%sirq 0%host ,800,244,,44,,
67,334, Mem: 3731608k total 3491724k used 239884k free 136396k buffers ,3731608,3491724,239884,136396,, 800%cpu 256%user 0%nice 66%sys 469%idle 0%iow 6%irq 3%sirq 0%host ,800,256,,66,,
68,339, Mem: 3731608k total 3499052k used 232556k free 136396k buffers ,3731608,3499052,232556,136396,, 800%cpu 269%user 3%nice 53%sys 466%idle 0%iow 6%irq 3%sirq 0%host ,800,269,,53,,
69,344, Mem: 3731608k total 3493560k used 238048k free 136396k buffers ,3731608,3493560,238048,136396,, 800%cpu 316%user 0%nice 53%sys 422%idle 0%iow 6%irq 3%sirq 0%host ,800,316,,53,,
70,349, Mem: 3731608k total 3501528k used 230080k free 136396k buffers ,3731608,3501528,230080,136396,, 800%cpu 331%user 0%nice 56%sys 409%idle 0%iow 3%irq 0%sirq 0%host ,800,331,,56,,
71,354, Mem: 3731608k total 3495988k used 235620k free 136396k buffers ,3731608,3495988,235620,136396,, 800%cpu 266%user 0%nice 56%sys 469%idle 0%iow 3%irq 6%sirq 0%host ,800,266,,56,,
