Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence
0,0,367546673463461,3.67546673463461E8,367546673466481,367546757258000,83.791519,_silence_,0.0
0,367546811471808,367546788800659,-22.671149,367546788803680,367546843369467,54.565787,_silence_,0.0
0,367546891537128,367546873915616,-17.621512,367546873919522,367546914046453,40.126931,_silence_,0.0
0,367546971471042,367546945245415,-26.225627,367546945250363,367546992602294,47.351931,_silence_,1.3108357
0,367547051520373,367547023109329,-28.411044,367547023112714,367547061340843,38.228129,_silence_,1.2071158
0,367547091403867,367547091826263,0.422396,367547091828658,367547128963402,37.134744,_silence_,1.0758435
0,367547171482885,367547159421582,-12.061303,367547159424394,367547194156637,34.732243,_silence_,0.8669145
0,367547251471226,367547224607838,-26.863388,367547224611588,367547259509404,34.897816,_silence_,0.37329185
0,367547291357741,367547289957012,-1.400729,367547289960449,367547324947380,34.986931,_silence_,0.2968152
0,367547371496186,367547355409466,-16.08672,367547355412122,367547390322907,34.910785,_unknown_,0.18604542
0,367547451479111,367547420755618,-30.723493,367547420758379,367547457734841,36.976462,stop,0.17313753
0,367547491424375,367547488164375,-3.26,367547488167083,367547523685420,35.518337,down,0.1417955
0,367547571449592,367547554110475,-17.339117,367547554113288,367547591110114,36.996826,stop,0.1622713
0,367547651456058,367547621533451,-29.922607,367547621536732,367547656691579,35.154847,stop,0.21922301
0,367547691382364,367547687134916,-4.247448,367547687137989,367547722285805,35.147816,up,0.28632
1,367547771502059,367547752715547,-18.786512,367547752718308,367547790305811,37.587503,up,0.36016607
1,367547851478057,367547820689408,-30.788649,367547820691856,367547855618943,34.927087,up,0.4443056
1,367547891455717,367547886018477,-5.43724,367547886021394,367547920720772,34.699378,up,0.40976927
1,367548051675629,367547951873484,-99.802145,367547951899630,367548052702504,100.802874,up,0.32043058
1,367548131644283,367548083849539,-47.794744,367548083861778,367548154030014,70.168236,up,0.44898802
1,367548211751739,367548184425382,-27.326357,367548184428611,367548228394032,43.965421,up,0.40110618
1,367548291650445,367548258901118,-32.749327,367548258908723,367548325197063,66.28834,up,0.46933118
1,367548411518894,367548356251493,-55.267401,367548356275868,367548431995146,75.719278,up,0.40379077
1,367548491511402,367548462474055,-29.037347,367548462480097,367548516041873,53.561776,up,0.48096243
1,367548611513237,367548546778126,-64.735111,367548546783908,367548616253550,69.469642,up,0.4348322
1,367548691470537,367548647206886,-44.263651,367548647212824,367548692641422,45.428598,up,0.38322693
2,367548732440176,367548723103092,-9.337084,367548723111529,367548767033461,43.921932,up,0.4579164
2,367548852827480,367548798020235,-54.807245,367548798028828,367548872434669,74.405841,up,0.39104196
2,367548971557856,367548903433162,-68.124694,367548903443318,367548976074836,72.631518,up,0.4588651
2,367549052148645,367549007532651,-44.615994,367549007538381,367549075663075,68.124694,up,0.42165753
2,367549171477095,367549106729067,-64.748028,367549106741255,367549187126419,80.385164,up,0.42766863
2,367549252457572,367549217781214,-34.676358,367549217783870,367549280294658,62.510788,up,0.32636666
2,367549372378834,367549311446223,-60.932611,367549311451327,367549381976907,70.52558,up,0.36295617
2,367549491779939,367549413214463,-78.565476,367549413233004,367549504098534,90.86553,up,0.32555073
2,367549612755420,367549536397131,-76.358289,367549536416923,367549624817661,88.400738,up,0.33882555
2,367549691601886,367549655544955,-36.056931,367549655551362,367549717610951,62.059589,stop,0.3103037
3,367549772663613,367549748372361,-24.291252,367549748376892,367549812141794,63.764902,up,0.23795544
3,367549892148729,367549844434401,-47.714328,367549844447006,367549921304513,76.857507,stop,0.27884412
3,367550012382595,367549953409673,-58.972922,367549953417746,367550015835304,62.417558,up,0.20862418
3,367550093470103,367550047799838,-45.670265,367550047819317,367550123851877,76.03256,stop,0.26062867
3,367550212260376,367550154694328,-57.566048,367550154697922,367550240551576,85.853654,up,0.18805884
3,367550332606117,367550273124027,-59.48209,367550273131736,367550362827786,89.69605,up,0.2533116
3,367550451709045,367550393391487,-58.317558,367550393403623,367550475934412,82.530789,up,0.2599768
3,367550573027391,367550508147853,-64.879538,367550508159520,367550584028694,75.869174,up,0.25643837
3,367550652077346,367550614839686,-37.23766,367550614843384,367550675698651,60.855267,stop,0.1990236
4,367550772084390,367550708031050,-64.05334,367550708043133,367550784523714,76.480581,stop,0.20215493
4,367550852350960,367550814986373,-37.364587,367550814988925,367550868108358,53.119433,stop,0.22064498
4,367550971940555,367550900876642,-71.063913,367550900891017,367550976542535,75.651518,stop,0.25029254
4,367551052160772,367551008722226,-43.438546,367551008732382,367551073144576,64.412194,stop,0.20265251
4,367551171622294,367551104124319,-67.497975,367551104132704,367551177975263,73.842559,on,0.16626096
4,367551252332406,367551209246360,-43.086046,367551209255110,367551283159493,73.904383,up,0.2587775
4,367551333728456,367551314754965,-18.973491,367551314759965,367551367667261,52.907296,stop,0.21991988
4,367551451978364,367551398763879,-53.214485,367551398777785,367551474033053,75.255268,up,0.19708996
4,367551572947334,367551506220921,-66.726413,367551506239359,367551594299367,88.060008,stop,0.16341685
4,367551691791148,367551626316193,-65.474955,367551626334423,367551719078546,92.744123,stop,0.22805294
5,367551813427879,367551750449956,-62.977923,367551750460581,367551829672672,79.212091,stop,0.22980455
5,367551891624657,367551860926165,-30.698492,367551860929186,367551908666326,47.73714,up,0.22131576
5,367551972559978,367551939681173,-32.878805,367551939693152,367551996960137,57.266985,stop,0.27314728
5,367552052129986,367552027763317,-24.366669,367552027769463,367552084882802,57.113339,up,0.34237587
5,367552131603744,367552115278117,-16.325627,367552115282596,367552155716923,40.434327,up,0.2997705
5,367552212440106,367552186069687,-26.370419,367552186073645,367552236845890,50.772245,up,0.2819459
5,367552333829233,367552268149174,-65.680059,367552268154278,367552336351577,68.197299,up,0.2129016
5,367552451759869,367552368899445,-82.860424,367552368919653,367552459277318,90.357665,up,0.195622
5,367552573240142,367552490473311,-82.766831,367552490493415,367552580969518,90.476103,stop,0.21068223
5,367552692622446,367552612315250,-80.307196,367552612340250,367552706069426,93.729176,stop,0.15989098
6,367552812420530,367552738181877,-74.238653,367552738200315,367552833655428,95.455113,up,0.2317629
6,367552932151532,367552865436734,-66.714798,367552865454338,367552958875701,93.421363,up,0.33204728
6,367553012947998,367552989478100,-23.469898,367552989482527,367553046487168,57.004641,up,0.37485865
6,367553132359989,367553077351546,-55.008443,367553077364359,367553157717336,80.352977,up,0.40200347
6,367553253174585,367553190461193,-62.713392,367553190469787,367553274645108,84.175321,up,0.47766078
6,367553331694645,367553305610423,-26.084222,367553305619382,367553370778971,65.159589,up,0.3788612
6,367553452141948,367553401088349,-51.053599,367553401091370,367553461284241,60.192871,up,0.35446557
6,367553532119873,367553492838359,-39.281514,367553492842369,367553563364407,70.522038,up,0.3817836
6,367553652121968,367553594437067,-57.684901,367553594441442,367553657480510,63.039068,up,0.46297008
7,367553772471772,367553689847389,-82.624383,367553689868795,367553777382814,87.514019,up,0.2911379
7,367553851727769,367553808820317,-42.907452,367553808825369,367553862671833,53.846464,up,0.3935048
7,367553972027990,367553893440169,-78.587821,367553893444128,367553982185647,88.741519,up,0.24432383
7,367554091551856,367554012967160,-78.584696,367554012972056,367554092821648,79.849592,up,0.22635606
7,367554171817957,367554123473578,-48.344379,367554123480296,367554184553896,61.0736,up,0.3004945
7,367554252352028,367554215396503,-36.955525,367554215399733,367554280878020,65.478287,up,0.25685704
7,367554372236050,367554312040419,-60.195631,367554312059065,367554398997355,86.93829,up,0.27977175
7,367554491843719,367554430679077,-61.164642,367554430685952,367554501127938,70.441986,up,0.19637972
7,367554571965185,367554533365181,-38.600004,367554533370910,367554606080813,72.709903,up,0.21348909
7,367554692352436,367554636951806,-55.40063,367554636956285,367554694802176,57.845891,up,0.24398482
8,367554772349996,367554725507544,-46.842452,367554725515096,367554798713749,73.198653,stop,0.20033157
8,367554891775060,367554829644117,-62.130943,367554829662242,367554919847355,90.185113,up,0.21197197
8,367554973453402,367554950643868,-22.809534,367554950650066,367555010974968,60.324902,stop,0.20134978
8,367555094344404,367555043450648,-50.893756,367555043456638,367555102989977,59.533339,up,0.30188257
8,367555212487124,367555134002741,-78.484383,367555134015918,367555225042958,91.02704,up,0.17650056
8,367555291548538,367555255845618,-35.70292,367555255848482,367555302381664,46.533182,up,0.1999968
8,367555372008754,367555332908334,-39.10042,367555332926302,367555386230526,53.304224,up,0.32831955
8,367555492319652,367555417357873,-74.961779,367555417369123,367555498342465,80.973342,up,0.2669502
