Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count
0,169689436522076,169689520752980,84.230904,4
0,169689520752980,169689671201025,150.448045,8
0,169689671201025,169689705337307,34.136282,2
0,169689705337307,169689722182958,16.845651,0
0,169689722182958,169689738938971,16.756013,0
0,169689738938971,169689755694864,16.755893,0
0,169689755694864,169689772451136,16.756272,0
0,169689772451136,169689789206630,16.755494,0
0,169689789206630,169689805962864,16.756234,0
0,169689805962864,169689822719125,16.756261,0
0,169689822719125,169689839475335,16.75621,0
0,169689839475335,169689856231267,16.755932,0
0,169689856231267,169689872986414,16.755147,0
0,169689872986414,169689889742462,16.756048,0
0,169689889742462,169689906498619,16.756157,0
0,169689906498619,169689923254879,16.75626,0
0,169689923254879,169689940011067,16.756188,0
0,169689940011067,169689956767144,16.756077,0
0,169689956767144,169689973523164,16.75602,0
0,169689973523164,169689990279207,16.756043,0
0,169689990279207,169690007034903,16.755696,0
0,169690007034903,169690023790726,16.755823,0
0,169690023790726,169690040546621,16.755895,0
0,169690040546621,169690057302497,16.755876,0
0,169690057302497,169690074058377,16.75588,0
0,169690074058377,169690090814211,16.755834,0
0,169690090814211,169690107570084,16.755873,0
0,169690107570084,169690124325820,16.755736,0
0,169690124325820,169690141081619,16.755799,0
0,169690141081619,169690157837406,16.755787,0
0,169690157837406,169690174593125,16.755719,0
0,169690174593125,169690191348472,16.755347,0
0,169690191348472,169690208104085,16.755613,0
0,169690208104085,169690224859852,16.755767,0
0,169690224859852,169690241615529,16.755677,0
0,169690241615529,169690258371265,16.755736,0
0,169690258371265,169690275126561,16.755296,0
0,169690275126561,169690291882313,16.755752,0
0,169690291882313,169690308638096,16.755783,0
0,169690308638096,169690325393775,16.755679,0
0,169690325393775,169690342149435,16.75566,0
0,169690342149435,169690358905041,16.755606,0
0,169690358905041,169690375660578,16.755537,0
0,169690375660578,169690392416300,16.755722,0
0,169690392416300,169690409171752,16.755452,0
0,169690409171752,169690425927195,16.755443,0
0,169690425927195,169690442682889,16.755694,0
0,169690442682889,169690459438551,16.755662,0
0,169690459438551,169690476193893,16.755342,0
0,169690476193893,169690492949202,16.755309,0
0,169690492949202,169690509704645,16.755443,0
1,169690509704645,169690526459969,16.755324,0
1,169690526459969,169690543215464,16.755495,0
1,169690543215464,169690559970788,16.755324,0
1,169690559970788,169690576726111,16.755323,0
1,169690576726111,169690593481534,16.755423,0
1,169690593481534,169690610236603,16.755069,0
1,169690610236603,169690626991947,16.755344,0
1,169690626991947,169690643747407,16.75546,0
1,169690643747407,169690660502884,16.755477,0
1,169690660502884,169690677258319,16.755435,0
1,169690677258319,169690694013232,16.754913,0
1,169690694013232,169690710767114,16.753882,0
1,169690710767114,169690727519209,16.752095,0
1,169690727519209,169690744271096,16.751887,0
1,169690744271096,169690761024378,16.753282,0
1,169690761024378,169690777778638,16.75426,0
1,169690777778638,169690794534184,16.755546,0
1,169690794534184,169690811289527,16.755343,0
1,169690811289527,169690828044472,16.754945,0
1,169690828044472,169690844799393,16.754921,0
1,169690844799393,169690861553607,16.754214,0
1,169690861553607,169690878307674,16.754067,0
1,169690878307674,169690895062647,16.754973,0
1,169690895062647,169690911817782,16.755135,0
1,169690911817782,169690928571444,16.753662,0
1,169690928571444,169690945323835,16.752391,0
1,169690945323835,169690962076546,16.752711,0
1,169690962076546,169690978830962,16.754416,0
1,169690978830962,169690995586203,16.755241,0
1,169690995586203,169691012340442,16.754239,0
1,169691012340442,169691029093967,16.753525,0
1,169691029093967,169691045848589,16.754622,0
1,169691045848589,169691062603710,16.755121,0
1,169691062603710,169691079358607,16.754897,0
1,169691079358607,169691096113305,16.754698,0
1,169691096113305,169691112868704,16.755399,0
1,169691112868704,169691129621144,16.75244,0
1,169691129621144,169691146373782,16.752638,0
1,169691146373782,169691163128754,16.754972,0
1,169691163128754,169691179884432,16.755678,0
1,169691179884432,169691196639803,16.755371,0
1,169691196639803,169691213395570,16.755767,0
1,169691213395570,169691230150848,16.755278,0
1,169691230150848,169691246906149,16.755301,0
1,169691246906149,169691263661632,16.755483,0
1,169691263661632,169691280416928,16.755296,0
1,169691280416928,169691297172580,16.755652,0
1,169691297172580,169691313928262,16.755682,0
1,169691313928262,169691330683733,16.755471,0
1,169691330683733,169691347438164,16.754431,0
1,169691347438164,169691364193396,16.755232,0
1,169691364193396,169691380948607,16.755211,0
1,169691380948607,169691397703434,16.754827,0
1,169691397703434,169691414457230,16.753796,0
1,169691414457230,169691431212849,16.755619,0
1,169691431212849,169691447969356,16.756507,0
1,169691447969356,169691464724699,16.755343,0
1,169691464724699,169691481479728,16.755029,0
1,169691481479728,169691498230332,16.750604,0
2,169691498230332,169691514983154,16.752822,0
2,169691514983154,169691531735430,16.752276,0
2,169691531735430,169691548487901,16.752471,0
2,169691548487901,169691565238435,16.750534,0
2,169691565238435,169691581989494,16.751059,0
2,169691581989494,169691598740382,16.750888,0
2,169691598740382,169691615488514,16.748132,0
2,169691615488514,169691632241193,16.752679,0
2,169691632241193,169691648994389,16.753196,0
2,169691648994389,169691665750372,16.755983,0
2,169691665750372,169691682506669,16.756297,0
2,169691682506669,169691699263422,16.756753,0
2,169691699263422,169691716018766,16.755344,0
2,169691716018766,169691732773512,16.754746,0
2,169691732773512,169691749524055,16.750543,0
2,169691749524055,169691766276904,16.752849,0
2,169691766276904,169691783028834,16.75193,0
2,169691783028834,169691799784088,16.755254,0
2,169691799784088,169691816537811,16.753723,0
2,169691816537811,169691833291702,16.753891,0
2,169691833291702,169691850047126,16.755424,0
2,169691850047126,169691866802640,16.755514,0
2,169691866802640,169691883556581,16.753941,0
2,169691883556581,169691900311501,16.75492,0
2,169691900311501,169691917067279,16.755778,0
2,169691917067279,169691933823308,16.756029,0
2,169691933823308,169691950579159,16.755851,0
2,169691950579159,169691967334484,16.755325,0
2,169691967334484,169691984089410,16.754926,0
2,169691984089410,169692000844927,16.755517,0
2,169692000844927,169692017600711,16.755784,0
2,169692017600711,169692034352787,16.752076,0
2,169692034352787,169692051108334,16.755547,0
2,169692051108334,169692067863206,16.754872,0
2,169692067863206,169692084614205,16.750999,0
2,169692084614205,169692101369486,16.755281,0
2,169692101369486,169692118122316,16.75283,0
2,169692118122316,169692134877797,16.755481,0
2,169692134877797,169692151633306,16.755509,0
2,169692151633306,169692168384730,16.751424,0
2,169692168384730,169692185139334,16.754604,0
2,169692185139334,169692201893975,16.754641,0
2,169692201893975,169692218646159,16.752184,0
2,169692218646159,169692235397362,16.751203,0
2,169692235397362,169692252148351,16.750989,0
2,169692252148351,169692268901708,16.753357,0
2,169692268901708,169692285652962,16.751254,0
2,169692285652962,169692302406257,16.753295,0
2,169692302406257,169692319156928,16.750671,0
2,169692319156928,169692335909026,16.752098,0
2,169692335909026,169692352661512,16.752486,0
2,169692352661512,169692369413302,16.75179,0
2,169692369413302,169692386168202,16.7549,0
2,169692386168202,169692402925091,16.756889,0
2,169692402925091,169692419681466,16.756375,0
2,169692419681466,169692436439084,16.757618,0
2,169692436439084,169692453195344,16.75626,0
2,169692453195344,169692469950979,16.755635,0
2,169692469950979,169692486706168,16.755189,0
2,169692486706168,169692503453888,16.74772,0
3,169692503453888,169692520192629,16.738741,0
3,169692520192629,169692536945904,16.753275,0
3,169692536945904,169692553702720,16.756816,0
3,169692553702720,169692570456785,16.754065,0
3,169692570456785,169692587208177,16.751392,0
3,169692587208177,169692603964430,16.756253,0
3,169692603964430,169692620717882,16.753452,0
3,169692620717882,169692637471797,16.753915,0
3,169692637471797,169692654225475,16.753678,0
3,169692654225475,169692670980772,16.755297,0
3,169692670980772,169692687733940,16.753168,0
3,169692687733940,169692704473018,16.739078,0
3,169692704473018,169692721224436,16.751418,0
3,169692721224436,169692737980074,16.755638,0
3,169692737980074,169692754735241,16.755167,0
3,169692754735241,169692771491561,16.75632,0
3,169692771491561,169692788232797,16.741236,0
3,169692788232797,169692804984715,16.751918,0
3,169692804984715,169692821726283,16.741568,0
3,169692821726283,169692838471803,16.74552,0
3,169692838471803,169692855223392,16.751589,0
3,169692855223392,169692871978273,16.754881,0
3,169692871978273,169692888734996,16.756723,0
3,169692888734996,169692905487264,16.752268,0
3,169692905487264,169692922239932,16.752668,0
3,169692922239932,169692938996758,16.756826,0
3,169692938996758,169692955751518,16.75476,0
3,169692955751518,169692972508150,16.756632,0
3,169692972508150,169692989264693,16.756543,0
3,169692989264693,169693006019938,16.755245,0
3,169693006019938,169693022774708,16.75477,0
3,169693022774708,169693039527957,16.753249,0
3,169693039527957,169693056280568,16.752611,0
3,169693056280568,169693073031203,16.750635,0
3,169693073031203,169693089788238,16.757035,0
3,169693089788238,169693106531086,16.742848,0
3,169693106531086,169693123287849,16.756763,0
3,169693123287849,169693140045515,16.757666,0
3,169693140045515,169693156804420,16.758905,0
3,169693156804420,169693173563864,16.759444,0
3,169693173563864,169693190321073,16.757209,0
3,169693190321073,169693207078052,16.756979,0
3,169693207078052,169693223835286,16.757234,0
3,169693223835286,169693240589177,16.753891,0
3,169693240589177,169693257344329,16.755152,0
3,169693257344329,169693274097255,16.752926,0
3,169693274097255,169693290850249,16.752994,0
3,169693290850249,169693307599086,16.748837,0
3,169693307599086,169693324356936,16.75785,0
3,169693324356936,169693341111292,16.754356,0
3,169693341111292,169693357867020,16.755728,0
3,169693357867020,169693374623587,16.756567,0
3,169693374623587,169693391379499,16.755912,0
3,169693391379499,169693408134524,16.755025,0
3,169693408134524,169693424888100,16.753576,0
3,169693424888100,169693441642442,16.754342,0
3,169693441642442,169693458399868,16.757426,0
3,169693458399868,169693475154315,16.754447,0
3,169693475154315,169693491910445,16.75613,0
3,169693491910445,169693508663602,16.753157,0
4,169693508663602,169693525413591,16.749989,0
4,169693525413591,169693542170026,16.756435,0
4,169693542170026,169693558910319,16.740293,0
4,169693558910319,169693575666692,16.756373,0
4,169693575666692,169693592423638,16.756946,0
4,169693592423638,169693609179672,16.756034,0
4,169693609179672,169693625932218,16.752546,0
4,169693625932218,169693642685770,16.753552,0
4,169693642685770,169693659437643,16.751873,0
4,169693659437643,169693676194353,16.75671,0
4,169693676194353,169693692950966,16.756613,0
4,169693692950966,169693709703282,16.752316,0
4,169693709703282,169693726456485,16.753203,0
4,169693726456485,169693743211115,16.75463,0
4,169693743211115,169693759965778,16.754663,0
4,169693759965778,169693776715769,16.749991,0
4,169693776715769,169693793469290,16.753521,0
4,169693793469290,169693810224469,16.755179,0
4,169693810224469,169693826977494,16.753025,0
4,169693826977494,169693843735858,16.758364,0
4,169693843735858,169693860491322,16.755464,0
4,169693860491322,169693877250257,16.758935,0
4,169693877250257,169693894011638,16.761381,0
4,169693894011638,169693910773709,16.762071,0
4,169693910773709,169693927531551,16.757842,0
4,169693927531551,169693944288896,16.757345,0
4,169693944288896,169693961030579,16.741683,0
4,169693961030579,169693977783984,16.753405,0
4,169693977783984,169693994537954,16.75397,0
4,169693994537954,169694011295852,16.757898,0
4,169694011295852,169694028052312,16.75646,0
4,169694028052312,169694044806012,16.7537,0
4,169694044806012,169694061561816,16.755804,0
4,169694061561816,169694078319932,16.758116,0
4,169694078319932,169694095077404,16.757472,0
4,169694095077404,169694111835132,16.757728,0
4,169694111835132,169694128592976,16.757844,0
4,169694128592976,169694145346764,16.753788,0
4,169694145346764,169694162102950,16.756186,0
4,169694162102950,169694178845684,16.742734,0
4,169694178845684,169694195601918,16.756234,0
4,169694195601918,169694212354754,16.752836,0
4,169694212354754,169694229107540,16.752786,0
4,169694229107540,169694245862992,16.755452,0
4,169694245862992,169694262618503,16.755511,0
4,169694262618503,169694279363834,16.745331,0
4,169694279363834,169694296119843,16.756009,0
4,169694296119843,169694312874747,16.754904,0
4,169694312874747,169694329628572,16.753825,0
4,169694329628572,169694346379434,16.750862,0
4,169694346379434,169694363131710,16.752276,0
4,169694363131710,169694379886696,16.754986,0
4,169694379886696,169694396640425,16.753729,0
4,169694396640425,169694413397818,16.757393,0
4,169694413397818,169694430147522,16.749704,0
4,169694430147522,169694446898028,16.750506,0
4,169694446898028,169694463656094,16.758066,0
4,169694463656094,169694480413739,16.757645,0
4,169694480413739,169694497169304,16.755565,0
4,169694497169304,169694513925143,16.755839,0
5,169694513925143,169694530679130,16.753987,0
5,169694530679130,169694547429061,16.749931,0
5,169694547429061,169694564185949,16.756888,0
5,169694564185949,169694580943190,16.757241,0
5,169694580943190,169694597701112,16.757922,0
5,169694597701112,169694614459942,16.75883,0
5,169694614459942,169694631221925,16.761983,0
5,169694631221925,169694647984325,16.7624,0
5,169694647984325,169694664742212,16.757887,0
5,169694664742212,169694681500376,16.758164,0
5,169694681500376,169694698254076,16.7537,0
5,169694698254076,169694715010981,16.756905,0
5,169694715010981,169694731766629,16.755648,0
5,169694731766629,169694748519661,16.753032,0
5,169694748519661,169694765277781,16.75812,0
5,169694765277781,169694782031645,16.753864,0
5,169694782031645,169694798786527,16.754882,0
5,169694798786527,169694815542492,16.755965,0
5,169694815542492,169694832297038,16.754546,0
5,169694832297038,169694849051668,16.75463,0
5,169694849051668,169694865809971,16.758303,0
5,169694865809971,169694882568413,16.758442,0
5,169694882568413,169694899326759,16.758346,0
5,169694899326759,169694916085076,16.758317,0
5,169694916085076,169694932843277,16.758201,0
5,169694932843277,169694949600381,16.757104,0
5,169694949600381,169694966355303,16.754922,0
5,169694966355303,169694983112892,16.757589,0
5,169694983112892,169694999870590,16.757698,0
5,169694999870590,169695016624670,16.75408,0
5,169695016624670,169695033379068,16.754398,0
5,169695033379068,169695050134099,16.755031,0
5,169695050134099,169695066884141,16.750042,0
5,169695066884141,169695083638376,16.754235,0
5,169695083638376,169695100393081,16.754705,0
5,169695100393081,169695117147920,16.754839,0
5,169695117147920,169695133902497,16.754577,0
5,169695133902497,169695150658557,16.75606,0
5,169695150658557,169695167396146,16.737589,0
5,169695167396146,169695184152547,16.756401,0
5,169695184152547,169695200909198,16.756651,0
5,169695200909198,169695217667094,16.757896,0
5,169695217667094,169695234421812,16.754718,0
5,169695234421812,169695251178434,16.756622,0
5,169695251178434,169695267932240,16.753806,0
5,169695267932240,169695284674205,16.741965,0
5,169695284674205,169695301429219,16.755014,0
5,169695301429219,169695318187436,16.758217,0
5,169695318187436,169695334942235,16.754799,0
5,169695334942235,169695351700216,16.757981,0
5,169695351700216,169695368460901,16.760685,0
5,169695368460901,169695385221668,16.760767,0
5,169695385221668,169695401978646,16.756978,0
5,169695401978646,169695418736253,16.757607,0
5,169695418736253,169695435490740,16.754487,0
5,169695435490740,169695452243360,16.75262,0
5,169695452243360,169695468996877,16.753517,0
5,169695468996877,169695485740029,16.743152,0
5,169695485740029,169695502497233,16.757204,0
6,169695502497233,169695519250595,16.753362,0
6,169695519250595,169695536001868,16.751273,0
6,169695536001868,169695552759191,16.757323,0
6,169695552759191,169695569513760,16.754569,0
6,169695569513760,169695586267694,16.753934,0
6,169695586267694,169695603025460,16.757766,0
6,169695603025460,169695619779443,16.753983,0
6,169695619779443,169695636533385,16.753942,0
6,169695636533385,169695653290537,16.757152,0
6,169695653290537,169695670048450,16.757913,0
6,169695670048450,169695686802395,16.753945,0
6,169695686802395,169695703546648,16.744253,0
6,169695703546648,169695720301432,16.754784,0
6,169695720301432,169695737054789,16.753357,0
6,169695737054789,169695753811137,16.756348,0
6,169695753811137,169695770569156,16.758019,0
6,169695770569156,169695787325932,16.756776,0
6,169695787325932,169695804064924,16.738992,0
6,169695804064924,169695820816978,16.752054,0
6,169695820816978,169695837573784,16.756806,0
6,169695837573784,169695854329039,16.755255,0
6,169695854329039,169695871087276,16.758237,0
6,169695871087276,169695887845425,16.758149,0
6,169695887845425,169695904586983,16.741558,0
6,169695904586983,169695921341589,16.754606,0
6,169695921341589,169695938084447,16.742858,0
6,169695938084447,169695954840124,16.755677,0
6,169695954840124,169695971597324,16.7572,0
6,169695971597324,169695988351559,16.754235,0
6,169695988351559,169696005107610,16.756051,0
6,169696005107610,169696021864755,16.757145,0
6,169696021864755,169696038619801,16.755046,0
6,169696038619801,169696055373566,16.753765,0
6,169696055373566,169696072130291,16.756725,0
6,169696072130291,169696088889505,16.759214,0
6,169696088889505,169696105651204,16.761699,0
6,169696105651204,169696122414029,16.762825,0
6,169696122414029,169696139172662,16.758633,0
